Группа тем;Текст инцидента;Тема
Коронавирус;на вызов вместо доктора и сказал... Вам не нужно брать мазок!!! А мы бы очень хотели, чтобы его взяли..Я конечно могу ошибаться, но по моему с признаками орви мазки должны брать всем!!Да и детям постарше тоже мазки не берут до сих пор, если только контакт в классе с;Жалобы на врачей
Дороги;не собираетесь строить до 2026го...;Предложение дороги в план ремонта
Строительство и архитектура;"""строиться', а конца не видно👎может туда всё силы и средства бросить, а мы уж как нибудь без спортивного комплекса обойдемся🤔.";Строительство социальных объектов
Здравоохранение/Медицина;Пермском крае лечит игровую зависимость?;Профильный осмотр
Дороги;пусть правильную нарисуют на дороге , знаки установят чтоб;★ Некачественно нанесенная разметка на проезжей части
Социальное обслуживание и защита;инвалиды новогодние подарки или приглашения на ёлку в этом;Инвалиды
Благоустройство;я спрашивал когда туалеты будут;Отсутствие общественных туалетов
Коронавирус;'Сколько заболело после вакцинации коронавирусом???;Коронавирус
"МФЦ ""Мои документы""";Вам кто дал право ложные ответы давать???? Деньги на открытие своего дела;Государственные услуги
Мусор/Свалки/ТКО;'Вы знаете кто изготавливает площадки для;Строительство объектов по обращению с отходами
Благоустройство;всех их завалены снегом или отвалами от;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Культура;'Пушкинская карта действует?;Учреждения культуры
Дороги;адресу Пермь, ул. Чердынская, 29 между домами Леонова, 51 и Чердынская,29.;Предложение дороги в план ремонта
Коронавирус;Сейчас соблюдаем карантин. Полагается ли мне, как контактной с больными;Тесты на коронавирус
Роспотребнадзор;через канализацию проникают в квартиры. Это результат течи канализации, которая осела в подвале с апреля месяца.⭕ ЧП Пермь;Санитарно-эпидемиологическое благополучие
ЖКХ;или глобальная проблема теперь;Ненадлежащее качество или отсутствие отопления
Мусор/Свалки/ТКО;другом городе. Он живёт в общежитии от колледжа и мы там оплачиваем коммунальные услуги.;Плата за вывоз ТКО
Дороги;основание и по какому разрешению организована платная парковка в центре Перми. Нет не одного документа разрешающего организацию платной парковки. Нарушаются сан нормы. Нет договора оказания услуг, прав и;Организация парковок
ЖКХ;утро на ул.Чапаева д.33б.Достал бардак у мусоропроводов,а теперь еще у кого;Ненадлежащая уборка подъездов и лифтов
Здравоохранение/Медицина;даже и есть несколько человек, то все делается очень быстро, с первой поликлиникой не сравнить, там бесконечная очередь которая ещё и тянется;Очередь
Социальное обслуживание и защита;дети с аутизмом? В районных центрах не планируете? Есть возможность поучаствовать при наборе сотрудников? По;Занятость и трудоустройство
Роспотребнадзор;в эти же коридоры. В поликлинике и так было много народу, теперь вдвое больше станет. Непонятно, что делать тем, кто пришел без признаков;Санитарно-эпидемиологическое благополучие
Социальное обслуживание и защита;мы не имеем статус малоимущей семьи мы не сможем получить сертификат на летний детский отдых;Оказание гос. соц. помощи
Коронавирус;'Здравствуйте жене пришла смс о положительном тесте;Самоизоляция и карантин
Физическая культура и спорт;Барда 13 -15 января;Спортивные мероприятия
Памятники и объекты культурного наследия;города. Сколько поколений;Памятники и объекты культурного наследия
Образование;ковидом, знали, ожидали рост заболеваемости. В итоге закрыли позже на неделю. А уже рост заболеваемости. В автобусах - они переполненные. Заседание правительства края по КОВИДу я;Социальная поддержка учителей
Дороги;участков с адресами Балахнина 132 и;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Благоустройство;Маяковского от дома;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Мусор/Свалки/ТКО;где можно сдать?;Раздельная сортировка отходов
Образование;ребёнок учиться в лицее(колледж) на первом курсе, (бюджет) первые два месяца получала социальную стипендию, но вчера ее вызвала классный руководитель и сказала, что стипендию отменили для тех, кто учиться платно. это правомерно? лично я ничего в интернете этого не нашла..как;Выплаты стипендий
ЖКХ;в 2021году говорил и убеждал жителей города, что;Перепланировка и реконструкция помещений
Дороги;на улице садовая 25-27,;Нарушение технологии и (или) сроков производства работ
Образование;лагерь и воспользоваться кэшбэком;Детские оздоровительные лагеря
Образование;ли какие-то законы, обязательства?;Содержание гос. образовательных организаций
ЖКХ;верь в квартиру.;★ Засор в общедомовой системе водоотведения (канализации)
Благоустройство;Кстати, нам обещали в этом году подремонтировать дорогу на Кутузова и, сделать свет но увы, скоро снег;Отсутствие фонарей освещения
Здравоохранение/Медицина;в Мысовской больнице будет;Диспансеризация
Здравоохранение/Медицина;то решайте эти;Содержание больниц
Мусор/Свалки/ТКО;хватает транспорта, водителей?;Проблемы с контейнерами
Здравоохранение/Медицина;особенно с детьми;Хамство медицинских работников
Дороги;ничего! Машины едут сами;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Социальное обслуживание и защита;Куда обратиться за списком документов, чтоб встать в очередь как;Улучшение жилищных условий
Здравоохранение/Медицина;ковид? И одинаков ли он по всему;Льготные лекарства
Здравоохранение/Медицина;'Здравствуйте. Хочу пройти диспансеризацию. Много лет не приглашают. Когда;Диспансеризация
Благоустройство;по устранению данной проблемы?;★ Парковка на газонах
Здравоохранение/Медицина;дни здорового ребенка@;Диспансеризация
ЖКХ;доме уборка подъездов и придрмовой территории;Ненадлежащая уборка подъездов и лифтов
Здравоохранение/Медицина;из-за такого наплыва больных. Срочно;Очередь
Социальное обслуживание и защита;этом месяце ждать путинские?;Дети и многодетные семьи
Дороги;приводит в ужас всех. Что за дибилы придумали убрать парковочные карманы？План;Организация парковок
Здравоохранение/Медицина;моему сыну не будет назначено надлежащее лечение,я намерена разрешить;Хамство медицинских работников
Дороги;лесозавода. Сейчас лужа а вечером;Ливневые канализации (строительство и реконструкция)
Благоустройство;приведут эту зону;Парки и зоны отдыха
Мусор/Свалки/ТКО;приёмных пунктов отработанных;Раздельная сортировка отходов
Общественный транспорт;'т. е. пересадка теперь будет только по транспортной карте?;Проблемы с социальными картами или проездными документами
ЖКХ;бы нагреть батареи на такую;Плата за ЖКУ и работа ЕИРЦ
Здравоохранение/Медицина;'Сообщение без текста;★ Скорая помощь
ЖКХ;дом 4 после таяния снега уже пятый год затопляет верхние этажи.;Залитие квартиры
Мусор/Свалки/ТКО;жопы и пить кофе!!!'];★ Стихийные свалки в городе/в парках/в лесу
Физическая культура и спорт;куда можно направить запрос, об организации бесплатных тренировок по теннису на набержной?;Спортивные мероприятия
Физическая культура и спорт;где Гремячинск? У;Спортивные мероприятия
Образование;что стипендию отменили для тех, кто учиться платно. это правомерно? лично я ничего в интернете этого не нашла..как нам быть;Выплаты стипендий
ЖКХ;ссылаться на Постановления Министерства. Они носят чисто рекомендательный характер. В такое непростое время и такое вытворять! Шок;Завышение платы за коммунальные услуги
Здравоохранение/Медицина;Берёзовке есть ФП, фельдшера обслуживают не только жителей села, но и близлежащих деревень. Аптечного киоска нет, но все необходимые лекарства привозятся в ФП и там же реализуют. Мало того, можно сделать заказ и на дорогостоящие лекарства. Так ли уж;Отсутствие аптек
Газ и топливо;нет газа по ул Дегтярева 18. Дозвониться по номеру 4-17-09 невозможно. Как нам вообще жить без газа?;Восстановление газоснабжения
Коронавирус;"виден протокол врачебного осмотра - ""от госпитализации отказался, живёт один"" (Нас на минуточку четверо, двое детей, младшей 11, не вакцинирована по возрасту). Очередной мазок взяли 05.02, результата";Тесты на коронавирус
Дороги;территория не чищена;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Благоустройство;какие водные процедуры от машин после дождя!!! А лопухи какие, а ограждения из старых кроватей!! Любуемся ежедневно!! Пять;★ Ямы во дворах
Мусор/Свалки/ТКО;проконтролировать вывоз ТБО в кротчайшие сроки, т.к. он мешает проходу людей на пр. Ленина, т.к. тротуар засыпан и люди не могут осуществить проход на центральную часть дороги пр. Ленина. Привести территорию в порядок, провести озеленение, как было до этого.15.07.2022г. Гимадиева О.Ф.Копия отправлена в: УК «Городской уют», Прокуратура г.Губаха и г.Пермь, ЖКХ г.Губаха,;Выброс мусора нарушителем
ЖКХ;когда разберутся у нас;Низкая температура воды/слабое давление
Дороги;на Гайве! ?Это издевательство. Никакого планирование, сплошная импровизация. Стратегически важный объект, ремонт осуществляют 1,5 землекопа. О людях совсем не думаете? Как жить, как;Пробки
Коронавирус;плохие последствия !!??;Коронавирус
Мусор/Свалки/ТКО;по этому Вам чистить;Выброс мусора нарушителем
Благоустройство;Семейной 24, это куда;★ Неисправные фонари освещения
Электроснабжение;ли это как нибудь исправить,сгорел один;Качество электроснабжения
Общественный транспорт;желать лучшего.вот и;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Образование;саду при условии, что в каждой болеет один воспитатель?;Общее впечатление
ЖКХ;ли использовать средства капремонта со спецсчета на работы по герметизации;Сборы за капитальный ремонт
Строительство и архитектура;больницу сделайте, инвалиды);Строительство социальных объектов
Благоустройство;площадка отличная ,,качель которой 60;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Мусор/Свалки/ТКО;не будем! Мусора-то не прибавилось!Еще и за два месяца сразу квитанция пришла- здравствуй,..., Новый год!Это нам за двоих 400 рублей,без декабрьских повышений. Почему вовремя квитанцию за октябрь не послали? Мусор -не;Плата за вывоз ТКО
Благоустройство;выбрано для фонарей освещения , не;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Здравоохранение/Медицина;'Здравствуйте. Должны ли в детской;Очередь
Благоустройство;через лог. Просьба навести порядок!!!;Уборка территорий
Здравоохранение/Медицина;очереди ребенка инвалида?;Очередь
Благоустройство;и как пешеходы должны расходится друг с другом в этом узком;Самовольная установка ограждений на территории общего пользования
ЖКХ;(район башни) в квартирах холодина, чуть тёплые;Ненадлежащее качество или отсутствие отопления
Газ и топливо;поводу проведения газа, как многодетной семье,;Запрос на газификацию и её условия
Дороги;прибывает, но не;Подтопление автомобильных дорог
Памятники и объекты культурного наследия;1906 году? Такая красота и визитная карточка;Памятники и объекты культурного наследия
Коронавирус;трубку берут. Сколько можно звонить. Я понимаю сложившуюся ситуацию, но мне легче от;Проблемы в работе горячих линий
ЖКХ;включать его на час позднее???????? А в;Ненадлежащее качество или отсутствие отопления
Социальное обслуживание и защита;форму .до сих пор выплаты не;Задержка выплат гражданам
Образование;'[id31387360|Анна], Или как;Строительство школ, детских садов
Общественный транспорт;Кто-нибудь знает, ездит ли бесплатный автобус до базы отдыха на Широковском?;График движения общественного транспорта
Мобилизация;документ нужен при обращении?;Поддержка семей мобилизованных
Социальное обслуживание и защита;- по региональной программе в размере 10% от стоимости жилья. \n\nТак, в этом году сертификат по региональной программе получила семья Сурковых из Лысьвы.\n\n- Когда у нас с мужем родился второй ребенок, стало понятно, что нам предстоит переезд, - делится Дарья Суркова. - Двухкомнатная квартира стала слишком маленькой. А теперь мы ждем третьего ребенка, вопрос о расширении жилья встал особенно;Матери-одиночки, подростки
Социальное обслуживание и защита;утро,так ни кто со мной не;Соц.обслуживание прочее
ЖКХ;желает решить эту проблему.[Видеозапись]20220322_082255.mp4;Другие проблемы с общедомовой системой водоотведения (канализации)
Социальное обслуживание и защита;граждан 50 лет;Пенсионеры и ветераны
Образование;подскажите пожалуйста я из многодетной малоимущей;ВУЗы и ССУЗы
Социальное обслуживание и защита;доход засчитан заработок;Дети и многодетные семьи
Коронавирус;'Они даже к ребёнку не;Жалобы на врачей
Здравоохранение/Медицина;нельзя закарантинить ВСЕ школы и садики на 2недели!!!!Чего;Здравоохранение прочее
ЖКХ;'За сколько дней до вызова нужно;Завышение платы за коммунальные услуги
Благоустройство;проинспектировали, ул Чернышевского, 31,29 , 27,25, это позор работе;Благоустройство придомовых территорий
Мусор/Свалки/ТКО;чистить не будут😜;Выброс мусора нарушителем
Социальное обслуживание и защита;июня уже давно закончилось и даже 1;Пенсионеры и ветераны
Здравоохранение/Медицина;тех или иных;Отсутствие лекарств в стационарах
Социальное обслуживание и защита;соцзащиты для выяснения причины внятного ответа не получено.В данный момент один из детей находится;Соц.обслуживание прочее
Здравоохранение/Медицина;с больным ковид 19, упала с 2020 в десятки раз. Сейчас за контакт с больным короной платят 84 рубля. Если коронавирус всё время мутирует и с каждым днём становится всё опаснее, то почему 2 года назад врачам за контакт с обычным к видом платили тысячи рублей, а теперь за контакт с более;Низкая заработная плата врачей
Мусор/Свалки/ТКО;мусор выбрасывают сбоку у дома, по этому Вам чистить не будут😜;Выброс мусора нарушителем
Безопасность;жителям Украины по Указу Президента РФ от 27.08.2022 N 586. Заявления писали еще в начале октября.;Беженцы
Безопасность;Ну это уже совсем не смешно. В;Безопасность общественных пространств
Социальное обслуживание и защита;нужно получать второе высшее? И в какие;Занятость и трудоустройство
Благоустройство;Первая], здравствуйте, у;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Благоустройство;и у школьников, и у родителей будет много передвижений. А сейчас подход к дому небезопасен или требует много времени, чтобы обойти препятствие. Прошу оказать;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
ЖКХ;кого то унитаз сломался,видимо;Ненадлежащая уборка подъездов и лифтов
Культура;представляю торговый дом « Седьмое небо »Мы хотели возложить корзину с цветами к;Учреждения культуры
Дороги;Танкистов.Там даже столбов для освещения;Освещение неисправно или отсутствует
Мусор/Свалки/ТКО;убирают ,куда только;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;с собой биотуалеты? Летом спасают кустики, а зимой и осенью, да еще если захотел ребенок? Это маленькая проблема, которую решить не сложно, а почему никого не волнует-не;Отсутствие общественных туалетов
Образование;'Здравствуйте. Скажите пожалуйста у вас про лагерь многодетным можно;Детские оздоровительные лагеря
Коронавирус;заведующая не подпишет;Тесты на коронавирус
Погребение и похоронное дело;лишатся доходов!! С могил воруют цветы, венки и ограждения! Памятники ломают, вообщем проблема есть;Погребение и похоронное дело
Дороги;Тоже ничего не видно;Освещение неисправно или отсутствует
Благоустройство;только не сваливайте все на электриков.;★ Неисправные фонари освещения
Общественный транспорт;транспорту.Почему бы маршрут 80 не пустить;Изменить или отменить маршрут
Физическая культура и спорт;связаться на счет ралли Барда 13 -15 января;Спортивные мероприятия
Образование;с пятерками внутри, без медали за отличную учебу из-за формального подхода к их выдаче! Мы здесь, чтобы вместе помочь нашим детям востановить справедливость и добиться для них заслуженной награды! Мы рады всем, кто поддержит нас и поставит свою подпись под нашими обращеними в органы власти. Мы вне политики!Присоединяйтесь! Группа;Безопасность образовательного процесса
Благоустройство;по ул. .Кировоградской. С этой реконструкцией набережной мы остались без подъезда к дому. Мэр района знает нашу проблему но помочь не хочет, а вопрос стоит;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Здравоохранение/Медицина;чуть на тот свет не;Хамство медицинских работников
Экология;побелела река Гусянка. «Вчера в 21:00 сделал фото, Коломенская 3, на пешеходном переходе над речкой, как идти на Владимирский. Запаха не было» Зеленые реки у нас были, а теперь будет белая. В 2019 году пермяки уже жаловались на окрашивание в белый цвет реки;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
"МФЦ ""Мои документы""";до сих пор не отображается больничный в ФСС и на Госуслугах.;Государственные услуги
Коронавирус;мин 16 дн. как(.;Жалобы на врачей
Коронавирус;кабинет. В результате поставили первую компоненту Спутника и велели прийти еще. Почему;Доступность вакцин
ЖКХ;УК Вселенная. На телефон аварийной службы было оставлено много сообщений, но никто не отреагировал. В подъезде очень душно. Стена на первом этаже отсырела. Прорыв трубы в нашем подвале - на постоянной основе. УК Вселенная;★ Затопление подъездов, подвальных помещений
Социальное обслуживание и защита;вечерМожно узнать принята ли программа расселения аварийных домов;Аварийное жилье/переселение
Благоустройство;Ни хорошо оборудованных и отделённых от потока;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Погребение и похоронное дело;было сказано пожилой женщине, которая не умеет даже смс читать, у нее нет счета, пенсию получает через почту.укажите свой счет, введите логин и т. д.,она просто упивалась своим всемогуществом и значимостью, потом смилостивилась и записала маму аж на 24 марта при условии введения логина и наличии счета.папа был похоронен 22 февраля, мы с сестрой живем в других городах, что делать маме ?мне бы очень хотелось, чтобы сотрудники ПФР Дзержинского района принесли свои извинения пожилому заслуженному человеку, инвалиду, который приходил не просить милостыню, а получить положенную ему помощь от государства, а не от ПФР Дзержинского района г. Перми.мою , убитую горем маму, которая прожила с отцом 67 лет в совместном браке, обидели, унизили и оскорбили,кроме того ,грубо нарушили ее права как человека и гражданина.Прошу разобраться в данной ситуации, наказать и уволить сотрудников , допустивших такое отношение к обратившимся к ним людям.ни один телефон ПФР Дзержинского района Перми не отвечает, ни один, ни простых сотрудников, ни руководствапрошу прекратить геноцид сотрудников против жителей своего же районав других районах;Погребение и похоронное дело
Образование;'Здравствуйте. Пожалуйста, подскажите, законно ли объединять две группы в детском саду при условии, что в каждой;Общее впечатление
Здравоохранение/Медицина;без ноги вызвать терапевта;Технические проблемы с записью на прием к врачу
Физическая культура и спорт;будет ли в этом году;Спортивные мероприятия
Здравоохранение/Медицина;и есть. Половину лекарств покупали сами,;Отсутствие лекарств в стационарах
Экология;пешеходном переходе над речкой, как идти на Владимирский. Запаха не было» Зеленые реки у нас были, а теперь будет белая. В 2019 году пермяки уже жаловались на окрашивание в белый цвет реки Гуслянка.;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
ЖКХ;не нормально! Не у всех есть возможность купить воду даже просто на еду, не говоря помыться, почти все с маленькими детьми, а бабушки у которых пенсия извините в 10 тысяч, им как быть тоже!? Нам никто не вернёт деньги то что покупаем воду. Почему мы должны набраться терпения и ждать когда устранят эту проблему!? Говорили за 2 дня управятся в итоге они видите ли не успевают, что рабочих не;Подключение к водоснабжению
Образование;четверти выставит оценки в журнал и мы родители не имеем возможности следить;Образовательный процесс
Дороги;"20 км/ч по ул.Моторостроитьелей. Как видно из ответа6 чиновников не и итересуют инициативы граждан. Будем требовать дальше. Вытащим наконец их на место. И попросим неоднократно перейти дорогу. Честно,от этого знака ""Жилая зона""";Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Благоустройство;'[club57433185|Пермь Первая], здравствуйте, у;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
ЖКХ;Большинство домов, практически все, по нашей улице признаны аварийными. Подскажите, пожалуйста, куда нам обратиться, для признания дома аварийным?> Добрый вечер. Попросил администрацию Лысьвенского округа проинформировать вас по данному вопросу. Напишите, пожалуйста, в личные сообщения группы, чтобы они могли с вами;Непригодные для проживания жилые помещения
Здравоохранение/Медицина;в очереди 4;Очередь
Образование;закрыли позже на неделю. А уже рост заболеваемости. В автобусах - они переполненные. Заседание правительства края по КОВИДу я смотрел, там говорили то, то что и;Социальная поддержка учителей
Дороги;способность и пл. Восстания и ул. Мостовой, что в свою очередь уменьшит;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Дороги;поддержание ливневок кто ответственнен?;Ливневые канализации (строительство и реконструкция)
Газ и топливо;,в чате губернатора я задавала Вам вопрос про компенсацию по замене старой газовой плиты.,Вы попросили данные моей мамы,Вы;Восстановление газоснабжения
Благоустройство;ул. Лязгина, не законченную работу, не доделанную площадку? Мне был ответ, давайте подождём до 30 сентября, а мы подождали уже почти до;Отсутствие детских площадок
Общественный транспорт;делается, ещё один автобус по Солдатова пустили, там их и та много, а по Лодыгина;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Дороги;возле двора ул.;Предложить установку нового лежачего полицейского (ИДН)
Благоустройство;люди , а тротуар в плохом состоянии ? Примите меры !!! И ответе на вопрос . Данное сообщение сохранил и не надо сообщение удалять и наговаривать что была ненормативная лексика .;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Здравоохранение/Медицина;не до нас. Вот так. Осталось очень неприятное ощущение, что мы абсолютно беспомощны;★ Скорая помощь
Мусор/Свалки/ТКО;день. Обратите внимание;Выброс мусора нарушителем
Дороги;таки так безопасней переходить дорогу☝;Организация переходов, светофоров/Изменить организацию движения
Общественный транспорт;количество автобусов 53 го;Изменение класса и количества автобусов
Дороги;выбоинах-ямах и разливных;Предложение дороги в план ремонта
Здравоохранение/Медицина;где нет, во вторых, в аптеке сказали, что больше этого лекарства не будет. Для него это лекарство жизненно необходимо. Подскажите, пожалуйста, будет;Отсутствие лекарств в аптеках
ЖКХ;вовсе нет, воды горячей не дождаться,;Отсутствие горячей воды
Здравоохранение/Медицина;больничные после выписки тоже;Ошибки врачей, халатность
Общественный транспорт;мимо нас проигнорировав;Некорректное поведение водительского состава
Дороги;'Здравствуйте очень большая лужа;Ливневые канализации (строительство и реконструкция)
Погребение и похоронное дело;сотрудники работают в гос. учреждениях,;Погребение и похоронное дело
Здравоохранение/Медицина;просидела 5 часов;Очередь
ЖКХ;бы на хоз. нужды набрали воду. В посёлке живут пенсионеры, многие не могут носить воду от водовозки, приходится платить;Отсутствие холодной воды
Государственная собственность;Львович. У меня вопрос по поводу того, на каком основании я должен отдать частную собственность если электролинию спроектировали и построили с нарушениями СНиП? Вот кто это делал, тот должен быть уволен с поста по несоответствию служебным обязанностям. Кроме того пусть за свой счёт организации выполняющие работы исправляют свои ошибки. Или вы лично будете охранять дом когда уберут полисад, потому то будут лазить неблагосостоятельные граждане? Их к сожалению на районе хватает. А я целыми днями на работе.;Региональное имущество
Социальное обслуживание и защита;к. Либкнехта, д.21, кв 7. Тел89922012096;Создание доступной среды для инвалидов
Социальное обслуживание и защита;3 года и снимут. Смысл вообще этой программы если люди с одним ребёнком даже получить не могут;Улучшение жилищных условий
Дороги;+79125975620. Добрый день! Куда обратиться чтоб сделали лежачий полицейский на;Предложить установку нового лежачего полицейского (ИДН)
Благоустройство;другим мусором. Весь квартал ими завален. Дружбы - Тургенева -;★ Нарушение правил уборки и вывоза порубочных остатков
