Группа тем;Текст инцидента;Тема
Газ и топливо;мы без Газа.....и помыться не можем т.к. стоят газовые колонки.Тоже обращались везде...но воз и ныне там.😥😥😥;Восстановление газоснабжения
Экономика и бизнес;понижение цен будет или ни когда как жить с пенсией;Цены и ценообразование
ЖКХ;улице, а в подъезде все;★ Протечки с кровли (системы водостока)
Благоустройство;судьба от снега , дети за ДК;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Дороги;колёса попала, а завтра может человек! По данной улице очень много семей проживает;Предложить установку нового лежачего полицейского (ИДН)
Образование;будут учиться в 3 смены.;Строительство школ, детских садов
Коронавирус;у ребёнка короновирус, позвонили из поликлиники приедте на грачева 12 на осмотр и повторный мазок и бесплатные лекарства ну мы приехали осмотрели мазок взяли, спрашиваю где лекарства получить ответ меня убил вам не положено. Ну я долго думать не;Жалобы на врачей
Культура;по Пушкинской карте?;Учреждения культуры
Здравоохранение/Медицина;переливание крови у нее 4я группа?;Здравоохранение прочее
Здравоохранение/Медицина;'Трое суток ждали неотложку для ребёнка с температурой 39. Скорая через;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Дороги;ежедневно трактор месит;★ Несоблюдение правил уборки проезжей части
Благоустройство;'Мкд Мира 51;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Мусор/Свалки/ТКО;оранжевого явно не хватает на больших четыре сталинки;Раздельная сортировка отходов
Дороги;'Целое лето грейдер стоял;Строительство или реконструкция дорог
Экология;собакой на Андроновский пруд и увидели такое безобразие .В пруд сброшен грунт в перемешку с бордюрами ,корнями деревьев и колесами.Как будто где то благоустраивали дорогу ,а остатки сбросили а пруд.То туда нечистоты сливают ,то засоряют.Его ведь лет 5 или 6 назад благоустраивали,очистили ,;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Безопасность;'Добрый день. Подскажите, пожалуйста, есть ли в нашем городе пункты по сбору помощи жителям Донбасса?;Беженцы
Здравоохранение/Медицина;ждать, когда выйдет с больничного его медсестра. Сам врач ничего писать не соглашается. Уже две недели, как всё собрано, только оформить посыльный лист, но;★ Просьбы о лечении
ЖКХ;недели. Как опять грязная вода . когда же;Плохое качество воды
ЖКХ;всё сразу.Плачу как позволяют ср-ва.;Сборы за капитальный ремонт
ЖКХ;напор холодной воды на горе,;Низкая температура воды/слабое давление
Социальное обслуживание и защита;А с 16 до 18 лет положены выплаты хоть;Дети и многодетные семьи
Здравоохранение/Медицина;для больных астмой что б снять;Отсутствие лекарств в стационарах
Социальное обслуживание и защита;'Пионерская 8 аварийный;Аварийное жилье/переселение
Образование;ребёнком и он родится летом. Со вторым ребёнком можно;Устройство в ДОУ
Физическая культура и спорт;чтобы нам поставили;Ремонт спортивных учреждений
Благоустройство;занимаются благоустройством парковок;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
"МФЦ ""Мои документы""";2022 года?И когда данная информация появится в личном;Государственные услуги
Образование;"Сейчас с 1 июля опять индексация дополнительно на 6% и мы опять будем ""не те""? Почему мы не те";Зарплата учителей
Государственная собственность;не хочу загорется из за;Региональное имущество
ЖКХ;воды горячей нет😐;Отсутствие горячей воды
Здравоохранение/Медицина;к врачу открывается каждый день в 21.00. В 21.02 уже все занято. Мы только;Технические проблемы с записью на прием к врачу
ЖКХ;никаких работ, люди дышат канализацией, в подъезде за 15 лет не было текущего ремонта, дворника нет, уборщицы нет, за что поднимать тариф УК Городское хозяйство, а этим летом;Завышение платы за коммунальные услуги
Общественный транспорт;безналу помимо налички?;Льготы на проезд и тарифы
Социальное обслуживание и защита;, если я разведена;Улучшение жилищных условий
Физическая культура и спорт;поставили крышу, чтоб мы тренировались;Ремонт спортивных учреждений
Дороги;в прошлые годы. Зимой пробки были, но не так часто. А с весны... Что-то ужасное!!!Может следует провести;Организация парковок
Строительство и архитектура;Уинской вместо двух садиков и школы построили один садик.;Строительство социальных объектов
Коронавирус;мира 62 в Березниках?;Проблемы в работе горячих линий
Образование;отстранили от посещения ДС?;Устройство в ДОУ
ЖКХ;подвале не проводились дезинфекции под квартирами 1, 2, 3;★ Засор в общедомовой системе водоотведения (канализации)
Благоустройство;"что то полезное сделает для Лысьвы. В первую очередь отремонтирует ""Трамплин"" и запустит автобус для детей. Закупит";Предложение по благоустройству
Газ и топливо;дома? Бабушке 80;Запрос на газификацию и её условия
Культура;что дочка моя Антонова Полина входит в список. Но в школе нам пока ничего не сказали.;Культурно-досуговые мероприятия
Здравоохранение/Медицина;здравоохранения Пермского края], где можно;Профильный осмотр
Общественный транспорт;класс. В нашей школе 5 класс-ещё считается начальными классами, даже если ребёнок просто с ОВЗ без инвалидности (которой сейчас добиться практически нереально), то возят родители с пересадками;Льготы на проезд и тарифы
ЖКХ;капает и течёт…;★ Протечки с кровли (системы водостока)
Общественный транспорт;он холодный, плохоосвещённый. Эскалаторы можно сделать и тогда не надо будет вешать световое информационное табло внутри, как пользоваться подъемником;Пешеходные переходы и жд переезды
Здравоохранение/Медицина;когда они поступят не известно. Предоставьте, пожалуйста,;Отсутствие лекарств в аптеках
ЖКХ;в УК. Сама лично почти каждый год ходила и писала заявление, чтобы сделали хотя бы косметический ремонт, побелили и покрасили за наш счет;★ Затопление подъездов, подвальных помещений
Дороги;Давыдовых - ул.Войкова;Ямы и выбоины на дороге
Образование;а с 1;Дистанционное образование
Экология;'Дело хорошее, но часть Данилихи течет в подземном коллекторе, как, впрочем и другие малые реки Перми. И вот навести;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Дороги;очень неудобно. Почему;Организация парковок
Благоустройство;и кому принадлежит открытый люк в поповском саду, о;★ Открытые канализационные люки
Коронавирус;цена всей прививочной кампании. Напишу всем и;Доступность вакцин
Благоустройство;идет подготовка к майским праздникам.Что касается провала во дворе -;★ Ямы во дворах
ЖКХ;стене, но и капает с потолка. Сегодня заявку;Залитие квартиры
ЖКХ;зиму не греет змеевик. УК Омега,;Отсутствие горячей воды
Благоустройство;и прекрасного липового аромата;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Дороги;не долго радовались , водители ездят как угорелые , даже не думают снижать скорость .;Предложить установку нового лежачего полицейского (ИДН)
Социальное обслуживание и защита;Возвращаюсь к старому вопросу для уточнения- вопрос: говоря про документы, это что? Квитанции или свидетельство на жилье?????> Здравствуйте, Юлия, выкупаются квадратные метры, которые у Вас указаны;Аварийное жилье/переселение
Общественный транспорт;не доделана совсем, камни и рытвины!;Содержание остановок
Мусор/Свалки/ТКО;Горнозаводскому комбинату благоустройства, который осуществляет вывоз мусора с территорий:ВВП.;Проблемы с контейнерами
Дороги;у нас должны быть крылья.;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Здравоохранение/Медицина;контрастом, к-т малого таза и колоноскопию.Всё кроме колоноскопии я уже делала сама два года назад за свой счёт.Сейчас для меня сумма на все эти процедуры неподьемная это порядка 35 тыс руб.Обратилась в Философию по месту жительства на Постаногова, 4, чтобы МРТ назначили по полису.У меня сейчас очень;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Здравоохранение/Медицина;и нахамят . Успокаиваются только тогда, когда пригрозишь звонком на горячую линию в;Хамство медицинских работников
Социальное обслуживание и защита;корыстных целях касаемо меня,;Соц.обслуживание прочее
Социальное обслуживание и защита;Пермского краяВедь в Коспашском ПНИ все защищённые вакцинированные, привиты.Для чего закрывать!?🤔🤔🤔;Социальные учреждения
Здравоохранение/Медицина;взятие мазков у привитых граждан и граждан, прошедших ревакцинацию, запрещено. Насколько оправданны действия врача?На сегодня состояние не улучшается. Повторно вызвали врача. Просьба принять меры и направить папу;★ Скорая помощь
Строительство и архитектура;радует. А аквапар, зоопарк и;Строительство зданий
Благоустройство;растёт, как у нас. На фото ул. Шахтостроителей, 3.Скоро;Борщевик Сосновского
Здравоохранение/Медицина;окулиста пора заменить, а то;Нехватка или сокращение врачей и медицинских учреждений
Общественный транспорт;тоже не везде порядок с;Содержание остановок
Благоустройство;23 корпус 2 находится в аварийном состоянии,яма на яме!!!Решение о капитальном ремонте дороги было принято 3 года назад,но администрация нашего города по своему хотению-велению;★ Ямы во дворах
Общественный транспорт;будет, особенно покатушку на общественном транспорте, со всеми;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Образование;холодно, дети жалуются.;Проблемы с отоплением детских садов и школ
Дороги;"ответ Казанцева просто поверг в шок: ""...дом стоит один и удаленно,поэтому НЕЦЕЛЕСООБРАЗНО укладывать асфальт....требуется долголетнее финансовое планирование...""Вопрос: шесть лет -это малипусенький срок(?!);асфальтовому покрытию ,ужО, скоро 34 (!)года";Строительство или реконструкция дорог
ЖКХ;Перми за этим не следят ????. По;★ Несанкционированные надписи, рисунки, реклама на фасаде МКД
Общественный транспорт;как будет транспорт ходить?;График движения общественного транспорта
Электроснабжение;день, что с заявками по свету в частном секторе,и столбами;★ Повреждение опор ЛЭП
Социальное обслуживание и защита;ребенка до 18 лет или только статус;Матери-одиночки, подростки
Коронавирус;в детской краевой помочь;Жалобы на врачей
Благоустройство;площадка вся снегом завалена;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Благоустройство;'Пройдитесь лучше по;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Роспотребнадзор;какие меры принимаются в стационарах для предупреждения распространения ковида? Интересно про нековидные мед.учреждения;Санитарно-эпидемиологическое благополучие
Благоустройство;Репина 51 Пермь топит дома, по обращением в МКУ отпровляют;★ Подтопление территории
Коронавирус;эсамеска, а мужу так и не пришёл результат, в один день сдали вызвав врача на дом, он у обоих мазок взял, вчем причина, звонила по телефону 3 о1 85, который мне в регистраторе дали что бы узнать во первых что нам дальше делать и узнать на счёт анализа у мужа, целый день звонила, робот отвечает ваша позиция два и так целый день, этот номер телефона у где нужно узнать;Тесты на коронавирус
Благоустройство;администрацию с этим вопросом и просьбой принять меры по уборке территории.Сейчас мне пришёл ответ, что все выполнено. УК выполнила свои обязательства по уборке снега и наледи.Только я считаю, что это выполнено все для отписки и для галочки,на фото все видно.Зайдите в любой двор и там;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Общественный транспорт;рейс начинается с нервотрёпки.Пожалейте народ и водителей!;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Здравоохранение/Медицина;коронавирусом. И чтоб получить страховку с работы обязательно ли надо найти человека от;Социальная поддержка медперсонала
ЖКХ;зимой ещё ни разу не чистили от снега, скоро будет движение в одну полосу!Тоже есть отписка что Воронцова после 08;Жалобы на управляющие компании
Социальное обслуживание и защита;'Обращаться кому ,;Соц.обслуживание прочее
Благоустройство;ребёнок и провалится.;★ Открытые канализационные люки
Благоустройство;когда будут чистить;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Образование;оборудования?! Каждый год гибнуть;Безопасность образовательного процесса
Дороги;переиграли и решили залатать ямы, которых в;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Образование;телефонов,адреса не указаны.Учусь в;Выплаты стипендий
Благоустройство;нашем микрорайоне будут организованы законные автостоянки?;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Социальное обслуживание и защита;документы для оформления новой?Заранее;Оказание гос. соц. помощи
Физическая культура и спорт;пришли , посмотрели,;Ремонт спортивных учреждений
ЖКХ;дом Малкова10 с торца дома;Дезинфекция МКД
Образование;дистанционное обучение продлевать будут?;Дистанционное образование
Электроснабжение;недельные отключения? Всю ту зиму испытывали проводку отключениями...;Качество электроснабжения
Коронавирус;вообще? Почему не подписывают;Порядок и пункты вакцинации
Образование;месту жительства, сказали чтобы мы зарегистрировались на сайте министерства образования и там;ЕГЭ, ОГЭ
Здравоохранение/Медицина;коридорах в поликлинике сделали,кому он нужен,даже;Нехватка материально-технического обеспечения
Образование;У нас в садике сидит женщина 50-55 лет в форме охранника. У неё нет даже дубинки. Как она защищает;Безопасность образовательного процесса
Здравоохранение/Медицина;и гипертония. Назначение витамины и капельницы, а от сахара и давления как они;Отсутствие лекарств в стационарах
Социальное обслуживание и защита;к кому можно обратиться,;Волонтерство
Памятники и объекты культурного наследия;Победе, жива Россия. жива Губаха и у нас есть этот сквер. Не было бы этой Победы- не было бы мира, и поколений тоже не было бы. Я считаю, что;Памятники и объекты культурного наследия
Газ и топливо;вопросы связанные с;Запрос на газификацию и её условия
Социальное обслуживание и защита;день. Мне так и не поступила выплата, хотя одобрена 30 марта на госуслугах. Барова;Оказание гос. соц. помощи
ЖКХ;день! Как сделать перерасчёты,;Завышение платы за коммунальные услуги
Благоустройство;прочая гадость на 4 метра вверх и по сторонам.Называется оздоравливайтесь дети и проходие, наполняйте;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Благоустройство;"долго и дорого, но может есть региональные или федеральные проекты? А то ""Мост времени"", если он получит финансирование, построят на";Предложение по благоустройству
Физическая культура и спорт;в планах очередного торгового центра?;Ремонт спортивных учреждений
Социальное обслуживание и защита;кому , пенсионному фонду с заявлением ?;Соц.обслуживание прочее
ЖКХ;это несущая конструкция.Управляющая компания вразумительного ответа не дала.Хотелось бы узнать есть у хозяев разрешение на перепланировку или;Перепланировка и реконструкция помещений
Дороги;ремонт двора на улице Гагарина;Нарушение технологии и (или) сроков производства работ
Социальное обслуживание и защита;Гагарина 10 можно принести вещи?;Волонтерство
Экономика и бизнес;устроиться на работу по своей специальности, в данный момент я на очном обучении. Но;Трудоустройство
Здравоохранение/Медицина;врача 🤣, как вы наверное уже поняли;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
ЖКХ;19 тоже холодина;Ненадлежащее качество или отсутствие отопления
ЖКХ;платим вот за такую воду?! Или акцент сделали на том чтоб каждый по литров сто в день её пропускал чтоб она чистая побежала , вы куда смотрите? Весь город уже жалуется на грязную;Плохое качество воды
Коронавирус;болезни сдала кровь. Результат плохой. Терапевт выписала мне курантил. На 2 месяца. Я снова;Порядок и пункты вакцинации
Коронавирус;иммунологами?Или это редакция самой группы родила, посмотрев зомбоновости??;Порядок и пункты вакцинации
"МФЦ ""Мои документы""";2021г, до сих пор нет официального ответа на госуслугах. Нет;"МФЦ ""Мои документы"""
Коронавирус;выдаваться новый код?;Сертификаты и QR-коды
Образование;на постройку новой котельни,трубы новые проложили?Для чего,чтоб взять и разрушить.Что за бардак в Лысьве творится и везде по России? Сколько можно деньги отмывать?Сами ведь живём в;Строительство школ, детских садов
Безопасность;эта стая собак разорвала собаку со стоянки около Моторостроителей, 10.Собаки;Отлов безнадзорных собак и кошек
Дороги;города, снег не вывозится,;★ Несоблюдение правил уборки проезжей части
Мусор/Свалки/ТКО;вопросы с контейнерными площадками?;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
ЖКХ;уже терпения не хватает;Лифт неисправен или отключен
Образование;числе и Москве, уже известно. Неужели в Москве выпускников меньше?;ЕГЭ, ОГЭ
ЖКХ;подъезда и внешнее состояние дома;Ремонт подъездов
Коронавирус;таблице каждый шестой из заболевших вакцинированный, и это несмотря даже на то, что не учитывают тех, кто заболел;Порядок и пункты вакцинации
Образование;включить котельную на садик . У нас она индивидуальная. Чтобы дети не мёрзли!!!Погода ещё на;Проблемы с отоплением детских садов и школ
Здравоохранение/Медицина;отделении , и во избежании недоразумений, пожелала остаться анонимной.Если у кого-то возникают сомнения, напишите в личные сообщения администраторам.Теперь о происхождении майонезного ведра. В;★ Питание в медицинских учреждениях
Общественный транспорт;"Перми с обратом, не продают в Перми на автовокзале. Автобус проходящий из Александровска. Подскажите, как сесть инвалиду, если там тьма народу? И все ""бьются"" за места? Очень удобно";Неудовлетворительные условия проезда в транспорте на действующем маршруте
"МФЦ ""Мои документы""";выборе темы обращения;Государственные услуги
ЖКХ;Может вы нам;★ Засор в общедомовой системе водоотведения (канализации)
Здравоохранение/Медицина;к врачам, все занято,;Технические проблемы с записью на прием к врачу
Дороги;в 6 сад, чуть выше базы;★ Несоблюдение правил уборки проезжей части
Здравоохранение/Медицина;врача можно записаться на;Профильный осмотр
Дороги;по подземному переходу без освещения и когда мрамор как каток?;Организация переходов, светофоров/Изменить организацию движения
Образование;я им написала, на что получила ответ, что вакансии нет.Сейчас отправлю скрин;Кадровые перестановки
Роспотребнадзор;стороны остановки Малкова-.куда ни;Обработка и уничтожение грызунов (дератизация)
Дороги;обращения граждан и стараетесь оперативно устранить;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Общественный транспорт;'Ужассс, расписание изменили, остановки;График движения общественного транспорта
Общественный транспорт;так перерыв между автобусами в основном;Изменить или отменить маршрут
Благоустройство;ли как то;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Здравоохранение/Медицина;закончится в этой больнице;Содержание больниц
Благоустройство;в ужасном состоянии.;Благоустройство придомовых территорий
Образование;'с 5го по 11;Дистанционное образование
Роспотребнадзор;возле мусорного контейнера у стахановская 15. Во неописуемо дающий крысы бегают. Везде мусора, горы,;Обработка и уничтожение грызунов (дератизация)
Благоустройство;НЕ ЩАКРЫВАТЬ ГЛАЗА НА ПРОБЛЕМЫ.;Парки и зоны отдыха
Благоустройство;'Мкд Мира 51;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Здравоохранение/Медицина;2е отделение городской больницы по ул. Красногвардейцев 45, за направлением на анализы,на;Нехватка материально-технического обеспечения
Благоустройство;'Спортивные и детские;Отсутствие детских площадок
Благоустройство;на месте парка Кислицына, ул.;Парки и зоны отдыха
Государственная собственность;Выяснили почему собственник разбирает;Региональное имущество
Экономика и бизнес;понижение цен будет;Цены и ценообразование
Электроснабжение;секторе,и столбами которые вот вот упадут;★ Повреждение опор ЛЭП
ЖКХ;ответ администрации округа про залитый фекалиями подвал:;★ Засор в общедомовой системе водоотведения (канализации)
Дороги;автобус сегодня утром не приехал на Погоду из-за нечищенных дорог! О какой транспортной доступности и обеспечении проезда идёт;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Культура;Южном будут ставить;Культурно-досуговые мероприятия
Физическая культура и спорт;с гравировкой результата,;Спортивные мероприятия
Общественный транспорт;Школа на карте значится как 37-я. А 22-й автобус ходит нечасто. Хотя очень удобный в данном случае.;Изменить или отменить маршрут
Благоустройство;дворовой территории по ул. Федосеева 18 и 22 , сплошная грязь, лужи, там тоже есть детский;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Здравоохранение/Медицина;'Как написать жалобу;Хамство медицинских работников
"МФЦ ""Мои документы""";Теплоэнерго может запросить самостоятельно в общей базе;"МФЦ ""Мои документы"""
Образование;'По вопросу предоставления места в общежитии студенту колледжа куда надо обращаться, помимо приёмной комиссии;ВУЗы и ССУЗы
ЖКХ;за линия. На весь;Подключение к водоснабжению
Социальное обслуживание и защита;или только статус малоимущей?;Матери-одиночки, подростки
Социальное обслуживание и защита;так долго рассматривают пособия с;Дети и многодетные семьи
Культура;Мысовский родник , и Сарафан. и Духовая музыка.....;Учреждения культуры
Экономика и бизнес;устроиться на работу по своей специальности, в данный момент я на очном обучении.;Трудоустройство
ЖКХ;всегда. На Красногвардейской;Подключение к водоснабжению
Образование;'добрый деньскажите, пожалуйста, можно ли получить ссылку на;Выплаты стипендий
Дороги;так знай сегодня;Предложить установку нового лежачего полицейского (ИДН)
Благоустройство;48. Это не у дороги и, к сожалению, соседние ТСЖ полностью перекрыли нам проезд. Сейчас мы можем подъезжать к дому только через дорогу, которая ведёт к базам. Там часто по утрам разгружают фуры. И мы просто оказываемся заблокированными. Чтобы ехать в сторону;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Здравоохранение/Медицина;Пастухову Дашу, которй отроду 2 недели. Она с;Отсутствие лекарств в аптеках
Физическая культура и спорт;'Спортивную площадку забетонировали, в прошлом году как будто был;Ремонт спортивных учреждений
Здравоохранение/Медицина;обратилась на Елькина,1 г.Пермь к дежурному врачу, так как зубы периодически сильно ноют и есть боль. Врач отправил на снимок, сказал, что или зубы;Здравоохранение прочее
Благоустройство;можем ли мы, волонтеры, высаживать деревья вдоль центральной улицы Ленина, или этот вопрос нужно с кем-то согласовывать. И еще есть одно место, которое очень хочется благоустроить –;Предложение по благоустройству
Общественный транспорт;пониманию комфорта. Сейчас он холодный, плохоосвещённый. Эскалаторы можно сделать и тогда не надо будет вешать;Пешеходные переходы и жд переезды
Электроснабжение;день, что с заявками по свету в частном;★ Повреждение опор ЛЭП
"МФЦ ""Мои документы""";года?И когда данная информация появится в личном кабинете;Государственные услуги
Благоустройство;района протекает!Ждем ответа.;★ Подтопление территории
Общественный транспорт;на всех остановках... Но всё таки транспорт ходит - будем радоваться этому факту 😁Сохраняйте актуальное расписание.P.S. более поздние рейсы не влезают на страничку, поэтому их расписание;График движения общественного транспорта
Благоустройство;руками только там нет детской площадки одна развалиная беседка;Отсутствие детских площадок
Образование;'Добрый день. Появилась информация, что со следующего учебного года;ВУЗы и ССУЗы
Государственная собственность;недавно проданного детского сада. Выяснили почему;Региональное имущество
Благоустройство;написал второе обращение, мне на него;Вырубка деревьев, кустарников
Социальное обслуживание и защита;вопросу смены места проживания несовершеннолетнего ребёнка?Ребенок жил;Дети и многодетные семьи
Социальное обслуживание и защита;ожидать путинское пособие на первого ребенка;Задержка выплат гражданам
Здравоохранение/Медицина;терапевтического участка1 год.Могу ли я получить выплату 750 тыс . переведясь работать;Социальная поддержка медперсонала
Газ и топливо;для газификации частного дома в сумме;Стоимость, оплата и возврат средств на газификацию
ЖКХ;улице, а в подъезде все капает;★ Протечки с кровли (системы водостока)
Социальное обслуживание и защита;право на трудоустройство выезжать по заявлению если права нарушают его;Занятость и трудоустройство
