Группа тем;Текст инцидента;Тема
Благоустройство;проходной 1 ЛМЗ находится в аварийном состоянии, не чистится, а сейчас там просто гололёд. Примите меры.;★ Нарушение правил уборки от снега и наледи территории парка и сквера
ЖКХ;Пермь, второй день сидят без воды (нет ни горячей, ни холодной). Коммунальные службы ссылаются на процедуру согласования, но, 12 и 13 июня это выходные дни, никто ничего не делает и не считает этот случай чрезвычайным и ждут, судя по всему, когда наступят рабочие дни. А;Отсутствие холодной воды
Благоустройство;друзья, жители боровиков! Кто может подсказать законны ли данные самовольные огорождения парковочных мест, а именно перед домом по ул.Вагонная 23! Туда вмещается около 10-15 машин.\nПредположим, они купили это место, то вопрос у кого и за сколько (а тут уже простая математика).\nВсе мы знаем, что проблема в боровиках с парковочными местами постоянная, а тут еще с наступлением зимы стало все еще хуже, так почему обычные жители должны ущемляться перед «необычными». \nВесь двор Вагонной 23 завален снегом, парковочных мест в разы меньше, в то время как у элиты все расчищено и нет заботы искать место в вечернее время. \nА чистить место в любом другом месте это бессмысленно, потому;Самовольная установка ограждений на территории общего пользования
Общественный транспорт;по транспор ной получилась опять 33 рубля.также пересадка в 77 автобус отчиталась тоже 33 рубля. Цена на билет выросла, но и сбои;Проблемы с социальными картами или проездными документами
Здравоохранение/Медицина;кабинет, на меня, закрепленный за данным направлением сотрудник, безосновательно накричала, потом пол дня стоял перед необходимыми кабинетами в очереди, следующий день потерял только для того, чтобы получить снимки флюорографии, которые в конечном итоге мной так и не были получены. Если вы так относитесь к мобилизационному процессу, то что говорить об обычных пациентах? Что, гражданочки медики, думаете на вас нет управы? Я обращаюсь к тем, кто не может должным образом контролировать свои эмоции, организовать нормальный процесс работы!!! Это пока моё предупреждение, будете возмущаться, то смотрите сами!!! Тогда следующим этапом с моей стороны будет информирование о происходящем на местах, в;Хамство медицинских работников
ЖКХ;;Непригодные для проживания жилые помещения
Социальное обслуживание и защита;договоре прописан в течении;Аварийное жилье/переселение
Общественный транспорт;"грубо и на «ты». Мужчина не ожидал такого от рабочего персонала автобуса.После этого, одна из женщин в автобусе решила вступиться за пожилого мужчину, сделав замечание кондуктору, после чего кондуктор и водитель начали орать на эту женщину как ""резаные свиньи""!Даже стало противно и не комфортно находиться в транспорте.Они орали на женщину всю дорогу, она пыталась им что-то ответить, но они её перебивали, и орали ещё громче, а водитель вообще почти не смотрел на дорогу, потому что был занят извержением отвратительного крика из своего рта!И это уже не";Некорректное поведение водительского состава
Благоустройство;УК ни ТСЖ . В ужасном состоянии из плит. Зимой её никто;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Строительство и архитектура;ёмкость которая внутри используют как пожарная.Зачем сразу ломать?Вообще это объект РЖД лет 5;Состояние зданий учреждений и организаций
Безопасность;район;Отлов безнадзорных собак и кошек
Благоустройство;'У нас трава по пояс,;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Здравоохранение/Медицина;'По заводской улице нет;Отсутствие аптек
Коронавирус;я могу поставить ЭпиВакКорону?;Доступность вакцин
Благоустройство;17.00, освещения нет от слова совсем. Центр Перми. Рядом Школа Точка, каким образом дети и не только дети должны ходить в темноте? Ни один пешеходный переход не освещен!!! Бюрократические проволочки не должны влиять на;★ Неисправные фонари освещения
ЖКХ;обращались чтоб написать заявление на ремонт, от куда маму отправили даже не приняв никакого заявления, и сказав что это будете ждать минимум 50 лет... Скажите пожалуйста, что теперь делать, куда обратиться дальше за помощью, или ждать когда дом рухнет вместе с соседями и не дай бог;Непригодные для проживания жилые помещения
Социальное обслуживание и защита;поработать медиком в;Занятость и трудоустройство
Благоустройство;така же;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Здравоохранение/Медицина;'Во всей этой истории не понятно, а куда делись живые кардиологи? Перешли в красные зоны? Минздрав, уточните, как эти ваши удаленные мониторинги можно получить обычным людям. Вы любите алноритмы-вот и пропишите.;Предложения по созданию лечебных центров
Образование;Соликамского городского округа. Подскажите, пожалуйста, хочу уточнить информацию - у нас в Пермском крае сколько открыто медицински классов? Один есть на нашей;Образовательный процесс
Социальное обслуживание и защита;'А почему только в Кизеле? Наверное надо;Волонтерство
ЖКХ;стенкой моются до 3х ночи, а весь шум и;Перепланировка и реконструкция помещений
Дороги;всё таки;Предложение дороги в план ремонта
Газ и топливо;чтоб подвести газ к дому надо заплатить 50к,а где их взять когда зп чуть;Стоимость, оплата и возврат средств на газификацию
Культура;текст и что нужно;Учреждения культуры
Дороги;и Орджоникидзе , забит арык, вся вода переливается на дорогу, проезжающие;Подтопление автомобильных дорог
Здравоохранение/Медицина;нет элементарно ледокаина лекарства разводят водой.;Отсутствие лекарств в аптеках
Общественный транспорт;утро. Подскажите пожалуйста, маршрут;Изменить или отменить маршрут
Связь и телевидение;'Здравствуйте! А по субботам вы работаете? Мы просто из города Березники и хотим;★ Информационно-техническая поддержка
Образование;с кем можно подписать;ВУЗы и ССУЗы
Безопасность;с вопросом о собак,чтоб провели отлов их .14 числа произошла такая ситуация,одна собака покусала более 5 человек в;Отлов безнадзорных собак и кошек
Безопасность;пожалуйста, где можно оставить помощь для беженцев?;Беженцы
Благоустройство;'А нашей администрации вообще ни чего не надо, дороги не чистят, с ребёнком на коляске вообще не проехать трясёт так что ребёнок подпрыгивает , на мусорки тоже забили всё валяется, собаки с воронами всё растаскивают. В общем один позитив. И это что? Тоже связано всё с СВО?;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Общественный транспорт;то не так. Нам к Молоту поставили остановку с Попова всю радолбанную и грязную, вместо новой, хорошей . А тут уж и следующую раздолбали. И куда эту подсунут? Может на Попова вообще пока не ставить;Отсутствие остановочных пунктов
Благоустройство;на каком основании вырубают сквер около библиотеки?;Вырубка деревьев, кустарников
Образование;отбор на данное мероприятие? Имеем огромное желание поучаствовать в следующем;Образовательный процесс
Культура;'Здравствуйте, подскажите, пожалуйста, как определялись 1100 ребят,;Культурно-досуговые мероприятия
ЖКХ;"улице Суздальская, 3 в Перми жалуются на беспредел, который творится у них в подъезде. Они рассказали, что по ночам неизвестные ломают лифты, мусорят, разрушают почтовые ящики, а также спят бомжи. ""Жутко заходить в подъезд, везде бутылки"". Теперь пермяки не";Ненадлежащая уборка подъездов и лифтов
Коронавирус;о;Сертификаты и QR-коды
Благоустройство;узкий тротуар с коляской проходить тяжело, можно ли как-то ускорить ремонт, дворов,;Благоустройство придомовых территорий
ЖКХ;большие средства, С учетом эпидемии возникли проблемы тоже. Однако ежемесячно оплачиваем услуги УК и вывоз ТБО. Оплачиваем ежемесячно. За первый год переплата в УК составила около 8 тысяч рублей. УК отказывается сделать перерасчет, мотивирую решениями собраний, которые состоялись годом ПОЗЖЕ . Каким образом можно на них повлиять и вернуть излишне оплаченные деньки? Так же интересует;Завышение платы за коммунальные услуги
Дороги;'Здравствуйте на гайвинском мосту плита вываливается;Ремонт/строительство мостов
Благоустройство;около детской площадки где стоит замок растёт борщевик. Не дай бог заденет ребёнок. Просим убрать;Борщевик Сосновского
Социальное обслуживание и защита;в 14;Создание доступной среды для инвалидов
Мусор/Свалки/ТКО;плачу исправно, максимум просрочка на месяц бывала, т.к не приходили квитанции, а дозвониться до них, проще до Кремля, а ездить;Плата за вывоз ТКО
Здравоохранение/Медицина;почему в Добрянку - ни одной??? Кому-то;Здравоохранение прочее
Образование;образования и науки Пермского края], вы не ответили на вопрос. Что за организация разрабатывает? Кто ответственный за разработку по;ЕГЭ, ОГЭ
Безопасность;'Сообщение без текста;Отлов безнадзорных собак и кошек
Благоустройство;подскажите пжл в детском парке у пруда,сделали лавочки,все украсили,сделали туалет можно узнать почему он не работает?идёшь с детьми гулять в туалет сводить не;Отсутствие общественных туалетов
Образование;меня вопрос у нас закрались классы на карантин вот в Перми детям дают сух паёк. Задала вопрос учительнице обоих детей по поводу сух пайка. Ответ убил меня одна сказала что первый раз с этим сталкивается , а вторая написала у нас же Лысьва, а не Пермь и не школа закрыта на карантин , а всего класс. А если класс закрыт на него выделены деньги на питание и за неделю куда же эти деньги уйдут раз нам не положен сух паёк. Куда подскажите обратиться лучше по этому;Питание
Благоустройство;благоустройство территории новой поликлиники, открытой в Гамово.Строительные ограждения вокруг поликлинике не убрали,;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Благоустройство;"города.Можно начать с Гайвы.Меня мало интересуют отношения с Азербайджаном.Меня больше интересует,как нынешняя молодежь,в моем регионе проводит досуг.А никак,нет бесплатных спорт площадок,нет кафе,нет клубов,да вообще,для молодежи от 14 до 25 лет нет ничего из культурно развлекательного.Даже простого кинотеатра нет.И вывод.Молодежь шарахается вечерами по улицам,""кучкуются"" во дворах,пьют,курят.Те кто это не приемлет,едут в город,НО!!!! ехать минимум 40 минут,туда и 40 минут обратно.Последний транспорт в 23 часа.Как люди,после работы,учебы,вернувшись домой,на Гайву,не имея возможности отдохнуть в своем микрорайоне,хотя бы посидеть в кафе,музыку послушать.Могут снова собраться и поехать в город на концерт????И многие приходят домой,и тупо бухают.А потом удивляемся откуда алкоголики,наркоманы,воровство и т.д. Скажу Махонину--Вот отсюда идет,От отношения к своей молодежи,к своему будущему.А про пенсионеров и говорить не хочу.Даже лавочки возле новых домов,или вдоль тротуаров не предусмотрены.Не говоря уже";Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Благоустройство;со двора скидывала;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Образование;науки Пермского края], здравствуйте, мой ребенок;Проблемы с отоплением детских садов и школ
Дороги;и не обозначили пешеходный переход, как было до этого.Дорога ведёт от Кировского кольца в сторону Железнодорожного, и эта прямая довольно длинная. Водители разгоняются по этой прямой и становится просто страшно переходить дорогу.Около 11 лет назад, в декабре, на этом самом месте сбили человека на смерть. Водитель скрылся с места происшествия и его так и не нашли. После инцидента установили пешеходный переход.Не хочется;Предложить установку нового лежачего полицейского (ИДН)
Дороги;хотите , вообще обнаглели мы тоже люди , и у нас;Ремонт дороги
Экономика и бизнес;края Дмитрий Махонин. Администрация Горнозаводского теплоэнерго пообещала до конца текущей недели выплатить работникам заработную плату за март и апрель. Если долг по зарплате не будет погашен в указанный срок, работники вынуждены будут прекратить выполнение;Трудоустройство
Общественный транспорт;в Александровске поменяют автобусы,вместе;Изменение класса и количества автобусов
Благоустройство;года администрация Дзержинского района не может организовать работы по ремонту люка на проезжей части ул. Овчинникова. Сообщение №149812 на портале управляем вместе  Все что смогла сделать администрация района, это поставить ограждение, тем самым сделав проезжую часть односторонней. В декабре 2021 года, пообещали выполнить работы в апреле 2022, в апреле ответили: В настоящее время выполнена подсыпка указанного участка, установлено временное ограждение. Восстановительные работы планируется произвести в весенне-летний период. Планируемая дата устранения: 10.06.2022. Т.е. год администрация ремонтирует люк.Сообщение №149812: Открытый;★ Открытые канализационные люки
Дороги;довольно длинная. Водители разгоняются по этой прямой и становится просто страшно переходить дорогу.Около 11 лет назад, в декабре, на этом самом месте сбили человека на смерть. Водитель;Предложить установку нового лежачего полицейского (ИДН)
Коронавирус;на роды, поскольку тест готовится минимум 12 часов, а экспресс-тесты часто дают ложно-положительные результаты. Роддома «убирают» неудобных свидетелей, и возникает вопрос, что они скрывают?Роды - сложный процесс и в такой момент, я хочу быть уверена, что рядом есть человек, который позаботится обо мне и;Коронавирусные ограничения
ЖКХ;ул. Льва толстого 49 и других домов. Тоже бегают крысы, всё разбросано и стекло на дороге;Дезинфекция МКД
ЖКХ;УК подняла плату за;Завышение платы за коммунальные услуги
Образование;Здравствуйте, нам никак не возвращают деньги за переплата по учёбе. Что делать.;Выплаты стипендий
Коронавирус;от коронавируса, которая начнется в ближайшее время, а сами школьники начали приносить домой заявления о согласии на прививку. Пермяки говорят, что сейчас руководство школы формирует списки детей, родители которых согласны на вакцинацию ребенка.Из приложения к письму главного врача детской поликлиники №6 может показаться, что детская вакцина уже поступила в медучреждение, однако в пресс-службе краевого Минздрава Properm.ru уточнили, что рано еще кого-то вакцинировать, так как вакцины нет. Поставка ожидается в феврале, но может поступить и в конце января.Для вакцинации детей от COVID-19 планируется;Порядок и пункты вакцинации
ЖКХ;с Холодной водой такая ж х так скажем ОДН сумма космос! Или меньше стали Света жечь или как не знаю я , За Март уже Заплатил квитка нет ещё, ОДН 20 с чем то с небольшим, А раньше по 100 рублей всегда Было! Так ж с Холодной водой ОДН наши Кубы 4 куба, А ОДН 2 куба и;Плата за ЖКУ и работа ЕИРЦ
Электроснабжение;домами;★ Повреждение опор ЛЭП
ЖКХ;проблему с тёплой водой из крана с горячей водой на ул. Пятилетки, 117-32 г. Березники. Вызвали мастера из управляющей компании вчера, так сегодня не подошли. Как их ждать то? Если работаем? Сегодня день брала, завтра уже не;Низкая температура воды/слабое давление
Дороги;"номер 3 пер. 150 лет КУБ, но ""ВОЗ и ныне там"". Знакомьтесь, родник им. МУП Водоканал Углеуральский. Вода 100% святая. Думаю, необходимо облагородить источник и возить на";Подтопление автомобильных дорог
Дороги;до Шмидта начнутся в июне. Уже середина июля, ремонт еще;Нарушение технологии и (или) сроков производства работ
Благоустройство;Лифанова,;Борщевик Сосновского
Образование;г, +79027933031. Здравствуйте, нам никак не возвращают;Выплаты стипендий
Благоустройство;На ул. Глеба Успенского трактор при уборке снега поломал недавно высаженные деревья,;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Общественный транспорт;ждали час так и не было;График движения общественного транспорта
Здравоохранение/Медицина;"она мне говорила не готово по итогу на днях готовы анализы она даёт мне направление в кунгурский перенотальный центр ,но и там меня отказываются принимать так как Елена Ивановна мурашева не провила узи которые положены ,при всем при этом я хочу к ним не просто замершей беременностью у меня есть сопутствующие заболевание рак крови , но всем на это плевать .сегодня 30.06.2022 я обращаюсь к глав врачу ординской больницы на что я услаша будьте споконы вас примут на узи ,но на узи меня не принимают ,а Елена Ивановна мурашева начинает кричать что я ""малолетняя";★ Просьбы о лечении
Газ и топливо;( статус подтвержден) живём в частном доме. И сейчас в нашей деревне Косотуриха;Запрос на газификацию и её условия
Образование;'Печалька😢Пришёл официальный отказ от города. Наш проект и желание помочь школе со спортивной;Общее впечатление
Коронавирус;Пермском крае? И нужно ли носить маску в;Коронавирусные ограничения
Дороги;гайвинском мосту плита вываливается;Ремонт/строительство мостов
Благоустройство;ожидании, обходя лужу по проезжей части.;★ Подтопление территории
Здравоохранение/Медицина;сотрудниками не может, потому что мы несколько раз к ней обратились с жалобами, что нет должного ухода за пациентами в этой больнице, ничего не поменялось. Продолжается халатное отношение. Добрый день. Я желаю, чтоб министерство здравоохранения обратило внимание на поликлинику 4 на транспортной 27 в г.Пермь и на Клинический фтизиопульмонологический медицинский центр по адресу Шоссе Космонавтов 160/1 в г.Пермь. Рассказываю подробно: Я, А 20.04.1983г.р заболела в конце мая этого года. Началось все с указательного пальца на руке, я его поранила и когда рана затянулась, там видимо , что то осталось , потому что он очень сильно отёк и был гиперемирован. Я обратилась к хирургу Соложенниковой Е.А примерно 27 мая, но мне отказались вскрывать его, сказали , чтоб я дома делала спиртовые примочки. Я послушала и ушла домой выполнять все назначения доктора, но лучше не становилось. По итогу придя в очередной раз 06.06. мне его вскрыли, поставили дренаж и назначили Цифран. Лечение выполнялось дома, но температура все равно держалась около 37-38C. Наблюдая за пальцем я не увидела улучшений , потому что отёк и температура так и не прошли. Я уже опустила руки и смирилась с этим. 2 июля у меня поднялась температура к 39С , я её сбила, и температура так поднималась каждый день, понимая, что то не так опять записалась на приём в поликлинику на транспортную 27 к Чирковой Е.В, свободное окошко было только на 11.07. Сходив на приём к данному доктору, она мне поставила диагноз Трахеит и прописала опять антибиотики, перед этим врач послушала мои лёгкие, сказала , что в лёгких хрипы и даже не назначила снимок лёгких, просто взяла мазок на ковид и отправила домой лечится антибиотиками , мазок на ковид был отрицательный. Я опять , как послушная пациентка ушла домой выполнять все назначения доктора Чирковой , пропив антибиотики, состояние мое ухудшилось, температура каждый день была 39С , я уже начала бредить, тогда мои родные решили, что нужно вызывать скорую помощь. 18.07 я попала в Городскую клиническую больницу №2 им. Ф.Х. Граля, в пульмонологическое отделение, на рентгене легких диагносцировали внебольничную двухсторонню пневмонию 19.07 у меня развилась сильная головная боль и частая рвота, мне провели пункцию спиномозговой жидкости, т.к заподозрили менингит. Провели Кт головного мозга и осмотрели все врачи, в том числе и фтизиатор и всем консилиумом они поставили предварительный диагноз Генерализованный туберкулёз диссименированный туберкулёз лёгких в фазе инфильтрации, Вторичный гнойный менингит (туберкулезный) и перенаправили на лечение в Клинический фтизиопульмонологический медицинский центр по улице Шоссе Космонавтов 160/1 в г.Пермь. Попала я туда 22.07, поместили меня в палату и закрыли на замок, санитарка сказала , что сейчас придёт и поможет расправить койку, т.к состояние было у меня удовлетворительное. В итоге я целый час просидела на стуле с сильной головной болью, с температурой 39С , с тошнотой и ждала, что хоть кто-нибудь подойдёт и поможет , встала и сама все расправила и плюхнулась от бессилия на кровать , на связь с родными выходила редко, т.к было очень плохо. С того времени с 22.07 ко мне так и ни кто не приходил и до сих пор даже не было лечащего врача, сегодня уже 27.07 . Заходят только медицинские сестры , ставят капельницы;Ошибки врачей, халатность
Благоустройство;приездом губернатора просили не писать о лестнице на Шестакова. Писали, что приступят к ремонту в августе. А;Разрушение тротуаров и пешеходных дорожек
Благоустройство;снега на ул. Энгелса на месте снесенных домов? Целый квартал насыпали.;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Коронавирус;утро! Скажите пожалуйста сколько по времени готовиться результат теста ПЦР? Мне взяли тест в среду, результата так и нет. Хотя сказали на следующий день готов будет.;Тесты на коронавирус
Здравоохранение/Медицина;Скажите пожалуйста, если дети с положительным ковид, мазки сданы через;Льготные лекарства
ЖКХ;ситуация во дворе дома ул. Льва толстого 49 и других домов. Тоже бегают крысы, всё разбросано и;Дезинфекция МКД
Мобилизация;мобилизованным выплачивать будут вот;Поддержка семей мобилизованных
Образование;г, +79027933031. Здравствуйте, нам никак не возвращают деньги за переплата;Выплаты стипендий
Электроснабжение;между домами 23 и 25;★ Повреждение опор ЛЭП
Общественный транспорт;спрятаться, не говоря о ветрах. Может, сначала, хоть по одной,;Отсутствие остановочных пунктов
Мусор/Свалки/ТКО;ближайшая мусорка находиться на расстоянии почти километр. И;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Благоустройство;стоянки возле небольших ТЦ ,Пятёрочка,Монетка;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Образование;мамонтов.Это нормально в 21 веке?!!!!Дети и родители этих детей не люди?!!!!Почему таланты выступают в запущенном здании?!!!Вам что, трудно для детей отремонтировать помещения?!!!!!!Я в курсе, что полы в школе искусств будут ремонтироваться этим летом.Но когда восстановят;Содержание гос. образовательных организаций
Социальное обслуживание и защита;инвалидами , восемьсот рублей добавки к пенсии , когда все подорожало намного больше, это издевательство.При этом шуму и;Пенсионеры и ветераны
ЖКХ;пунктов не будет отключение электроэнергии по поводу;Отсутствие электричества
ЖКХ;У;Отсутствие холодной воды
Дороги;освещение в Орджоникидзевском районе посёлок Ширина? Ни света ни дорог нормальных нет;Освещение неисправно или отсутствует
ЖКХ;что за прикол в Перми воду отключать;Отсутствие холодной воды
Общественный транспорт;сторону п.Углеуральского автобусы останавливаются, а в сторону города;Изменить или отменить маршрут
Коронавирус;день. Заболела в воскресенье вечером, температура 39, кашель. В понедельник 24.01.22 вызвала неотложную помощь. Приехали, назначили жаропонижающее, противовирусное и грудной сбор от кашля плюс взяли мазок на ковид. Результат пришел в СМС 25.01.22 результат положительный. Как мне сказали в первый прием что если результат будет положительный приедет мед.сотрудник;Жалобы на врачей
Здравоохранение/Медицина;состоянии идти на приём к;Профильный осмотр
Благоустройство;и город сразу станет краше.Клумбы сделайте,цветы посадите.Ведь даже около адмиристрации;Предложение по благоустройству
Мусор/Свалки/ТКО;областях есть перерабатывающие мусор;Строительство объектов по обращению с отходами
Здравоохранение/Медицина;'Тоже столкнулась с этой ситуацией. Кабинет здорового ребёнка не работатет- врач в отпуске, отправляют к участковому врачу - он на больничном, идешь к любому другому и;Очередь
Здравоохранение/Медицина;"не было, с ним дежурный врач связался по телефонному звонку. Хирург в свою очередь не соизволил прибыть для осмотра пациента и дальней госпитализации. Слова переданные дежурным врачом от хирурга: ""пусть едет завтра за направлением ко мне"" Пожилой, не транспортабельный пациент с перелом шейки бедренной кости с адскими болями должен прибыть в";Ошибки врачей, халатность
Общественный транспорт;трамвай номер 3 не пришел на пермь;График движения общественного транспорта
Благоустройство;Туда вмещается около 10-15 машин.\nПредположим, они купили это место, то вопрос у кого и за сколько (а тут уже простая математика).\nВсе мы знаем, что проблема в боровиках с парковочными местами постоянная, а тут еще с наступлением зимы стало все еще хуже, так почему обычные жители должны ущемляться перед «необычными». \nВесь двор Вагонной 23;Самовольная установка ограждений на территории общего пользования
Социальное обслуживание и защита;на портале Госуслуги мне было одобрено пособие на ребёнка от 3 до 7 лет в размере 50%. Сегодня уже 27 сентября, сроки зачисления данного пособия истекли, пособие так и не было зачислено. Как можно проверить было ли оно перечислено либо;Задержка выплат гражданам
Экология;по ночам на Коксе? Дома дышать не возможно вонь;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Благоустройство;стало все еще хуже, так почему обычные жители должны ущемляться перед «необычными». \nВесь двор;Самовольная установка ограждений на территории общего пользования
Благоустройство;"реально украсит и большой парк или совсем маленький скверик, проведите голосование куда её переставить. Представляете как народ доволен будет, увидев заголовки ""Власти города по просьбе жителей согласились перенести Эйфелеву башню в один из скверов Перми, голосование за это место пройдёт";Предложение по благоустройству
