Группа тем;Текст инцидента;Тема
Здравоохранение/Медицина;контактах нужно идти в городскую поликлинику? Что такого уникального в этом осмотре? Почему осмотреть не может фельдшер или медсестра в садике? Это просто издевательство;Содержание больниц
Здравоохранение/Медицина;операции.,а без записи окулист;Технические проблемы с записью на прием к врачу
Благоустройство;'Пермь г, +79091036181. Припаркованные машины в;★ Парковка на газонах
Социальное обслуживание и защита;пожалуйста вы по;Социальные учреждения
ЖКХ;ужасных условиях. Инженерная 10. Зий подъезд.;★ Затопление подъездов, подвальных помещений
Образование;"более! А вместо этого будем взращивать династии военных 👍 неприятно, хочется, чтобы ""человек с высшим образованием"" звучало серьёзно и качество подготовки";ВУЗы и ССУЗы
Коронавирус;по тел. 8 (342);Проблемы в работе горячих линий
Образование;на карантин закрыта?;Дистанционное образование
Здравоохранение/Медицина;для мужа, второй день держится температура, вчера была 38,9 сегодня спустилась до 37,5 и держится целый день, скора помощь отказалась ехать, сказал что никаким лечением не занимаются и приезжают на вызов при 39 градусов оказывают первую помощь не назначая лечения, при такой температуре даже не приехали взять мазок, зато везде пихают эти Qr-коды, куда обращаться при такой ситуации?Хочу чтобы на такую проблему обратили внимания власти нашего города и;★ Скорая помощь
Образование;оформить социальную стипендию? Спасибо.;Выплаты стипендий
Мусор/Свалки/ТКО;Пушкина. Она на;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;починили лесенки. Прогресс не;Разрушение тротуаров и пешеходных дорожек
Дороги;и где же светофоры?»;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Роспотребнадзор;которая осела в подвале с апреля месяца. Жители устали бороться с управляющей компании ЖПЭТ, в лице директора Васильевой Надежды Фёдоровны.Видео от Елены;Санитарно-эпидемиологическое благополучие
Мусор/Свалки/ТКО;сортировочный комплекс не построить в;Строительство объектов по обращению с отходами
Здравоохранение/Медицина;из-за чего?поставил прививку,2 день вызвали скорую;Ошибки врачей, халатность
Образование;поступить на IT профессии после 9 класса? Если да, то в какие колледжи ?;ВУЗы и ССУЗы
Общественный транспорт;за 5 миллионов;Отсутствие остановочных пунктов
Физическая культура и спорт;каток. Хотелось бы;Ремонт спортивных учреждений
Дороги;'А Федосеева где? Ездить невозможно, как после;Предложение дороги в план ремонта
Мобилизация;'Здравствуйте, почему мобилизованным ещё не;Зарплата, компенсации, поощрения, выплаты
Социальное обслуживание и защита;очень дорого обходится;Социальные учреждения
Памятники и объекты культурного наследия;сняли и убрали в музейные;Памятники и объекты культурного наследия
Коронавирус;понедельник последний день января. Тишина. Опять люди во власти обманули? Когда будут делать по;Сертификаты и QR-коды
Электроснабжение;раз уже какой год. Живём третий год и все так же. Чтобы стиральную машину включить приходиться в 3-4 часа ночи вставать включать. Вакуумный насос еле работает. Ну сделайте что нибудь уже. Столбы поставили новые и обещали что все будет хорошо. Но дело дальше не идёт как поставили так и стоят на новые;Качество электроснабжения
ЖКХ;на Ленина. Не организован подвоз;Отсутствие холодной воды
Здравоохранение/Медицина;на врача стоматолога?;Хамство медицинских работников
Социальное обслуживание и защита;в детском доме очень рано ушла;Оказание гос. соц. помощи
Газ и топливо;газа? Может это дачи?;Восстановление газоснабжения
Благоустройство;ниже . Просто;★ Неисправные фонари освещения
Благоустройство;месяц и то если звонишь каждый день и жалобы пишешь!;Отсутствие детских площадок
Образование;коллективы.Кто придумал такой норматив? Явно не сам трудовой коллектив.Заведующий не доверяет компетенции своих сотрудников вводя жесткий контроль и психологическое давление. Видимо в этом детском саду все педагоги работают плохо. А что делается в районе чтобы люди;Зарплата учителей
Благоустройство;сделать сквер на Грузинской, где Депутатом был нынешний глава города.Так ничего и не сделано.А зачем сквер там, где;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Социальное обслуживание и защита;Хотим узнать- каким;Соц.обслуживание прочее
Здравоохранение/Медицина;конкретно не объ ясняют почему,(инсульт 1 гр))курьеру далеко из;Здравоохранение прочее
Здравоохранение/Медицина;до года и детям 7 лет- для восстановления;Диспансеризация
Мусор/Свалки/ТКО;с машины х589хн;Выброс мусора нарушителем
Благоустройство;сквера на ул.Макаренко? Как-то там тихо;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Роспотребнадзор;'У нас такая же;Обработка и уничтожение грызунов (дератизация)
Благоустройство;воды не огорожена по всему периметру? Или купаться таки можно,хоть и;Парки и зоны отдыха
Благоустройство;'Уважаемая администрация! [id628987039|Алексей] Это тот самый дизайн код, который готовится к 300-летию нашего города? Почему все хорошие идеи у нас скатываются в что-то непотребное. Самый центр города! Примите меры и исправьте это досадное недоразумение. Ну мы же не посёлок городского типа! Какие-то таблички не;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Общественный транспорт;по Коммунаров, двоек по;Добавить новый маршрут
Образование;"меня больше волнует вопрос по специальности ""Сестринское дело""";ВУЗы и ССУЗы
ЖКХ;что после перерасчёта в январе, я оплатила фактическую квитанцию, а уже после оплаты мне с 27 февраля пришла квитанция в марте уже с пеней. Сотрудники тянут время, нормально ни чего не;Плата за ЖКУ и работа ЕИРЦ
Образование;февраля на удалёнке- будет;Дистанционное образование
ЖКХ;с крыши бомбоубежища расположенного во дворе дома адресу Шмидта 37, дети выходят из подъезда,гуляют! Ждут пока все само по себе;★ Наледь и сосульки на кровле
Благоустройство;вылазит за забор на пешеходную дорожку и выглядит, мягко говоря, неприятно. Саму больницу закрыли, половину здания снесли и конечно администрация обещала облагородить территорию, но уже несколько лет там ничего не меняется. В Лысьвенскую администрацию я писала об этой проблеме,;Уборка территорий
Дороги;власти игнорируют желание молодежи заниматься экстремальными видами спорта?Элементарно даже освещение в экстрим парке;Освещение неисправно или отсутствует
Благоустройство;нельзя просто остальную часть города привести в порядок? Красивые столбы как;Предложение по благоустройству
Благоустройство;и песком) по ремонту тротуаров около школы 116 во двор на ул. Студенческая 22. Нам неделю назад по программе благоустроили двор, положили новый асфальт и бардюры. А нам сейчас это всё;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Благоустройство;прям на стоянке машин и дети со всего города ходят теперь кататься на эту грязную гору .наверно надо идти в администрацию пусть вывозят, этот;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Благоустройство;ветки, качаясь стволы скрипят, могут рухнуть в любой момент на проходящих-проезжающих мимо людей, на крышу дома, на провода. Когда спилят?! Когда заметят и эту проблему тоже?! Как раз погода отличная !;Вырубка деревьев, кустарников
Благоустройство;таки можно,хоть и нельзя?;Парки и зоны отдыха
Коронавирус;Ковивак есть в;Доступность вакцин
Общественный транспорт;'[club57433185|Пермь Первая], 32 маршрут сегодня тоже;Льготы на проезд и тарифы
ЖКХ;наблюдаю, как раньше, стало грязнее.4. Вызывала Слесаря, чтобы отрегулировать батареи - не пришёл, сказали, что много заявок, не до нас(Пришёл человек из правления, как я поняла, не слесарь, отрегулировал одну батарею, и на том спасибо.Раньше Слесаря приходили сразу, в день заявки.4.;Ненадлежащая уборка подъездов и лифтов
Дороги;что нормативы в СССР;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Дороги;когда чудо свершится и что то решат с мостом?;Ремонт/строительство мостов
Коронавирус;'У мужа положительный мазок на коронавирус, таблетки бесплатные не дали.((( Ещё;Жалобы на врачей
Мусор/Свалки/ТКО;страшная. Кошмар! Администрация бывает на нашем;★ Уборка/Вывоз мусора
Благоустройство;13 больницы по улице Крупской 28а;Уборка территорий
Благоустройство;том, что не туда ходят по нужде, проблема;Отсутствие общественных туалетов
Здравоохранение/Медицина;регионам России или для каждого региона свои стандарты? Меня интересует приказ об утверждении стандартов медицинской помощи взрослым при сахарном диабете 1 типа, для Пермского края свои стандарты? Если да, то могу ли увидеть этот стандарт? Заранее благодарю;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Благоустройство;в сквере Победителей;Вырубка деревьев, кустарников
Благоустройство;14 упало дерево.;Вырубка деревьев, кустарников
Благоустройство;и в подвал?УК ” Уралкомп”, обратите внимание на проблему и;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Социальное обслуживание и защита;его комнате не было, батарей тоже, комната была в нежилом виде. Он жил со своей матерью у нее в квартире по ул Никулина. Мама его давно умерла, и он сейчас живет у меня в комнате на Пр. победа в общежитии. Мы обращались к вам в 2018г хотели приватизировать комнату для продажи что б купить ему другое жилье, но нам не разрешили так как дом под снос. Потом нам пришло вот такое постановление, копию вам приложу. Что нужно привести жилье в порядок. Но его пенсия на тот момент была 8тыс, и смысл там было что то делать если его соседи туда не пускали и дом под снос. У меня вопрос моему дяде полагается после сноса какое то жилье? По факту это его единственное жилье было где он до сих пор прописан. Я;Аварийное жилье/переселение
"МФЦ ""Мои документы""";заявление, хотя ранее я у них;"МФЦ ""Мои документы"""
Здравоохранение/Медицина;диспансеризацию через общую очередь или какой-то отдельный приём, если сидеть по пол дня в один кабинет, то спасибо, как;Диспансеризация
Благоустройство;обратно зимой. Очень опасно лёд, машины. Просим сделать;Отсутствие фонарей освещения
Дороги;Хасана/Павла Соловьёва знак пешеходного перехода упал. Второй день;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Образование;"банке, решили подождать пока откроют новую, и вот открыли. Пришли в школу о переводе поговорить, а нам смеются в ответ, ""нет мест, у нас.. Школа большая но количество классов прежнее, не добавилось и значит как";Нехватка мест в школах
Здравоохранение/Медицина;Айболитских поваров, сами то пробуете какую парашу в больницы готовите? Мало того, что не съедобно, дак ещё то пересолят, то не досолят, то;★ Питание в медицинских учреждениях
Здравоохранение/Медицина;Пермского Края есть больница с обшарпанным стоматологическим кабинетом, даже стоматолог есть, но только удаляющий зубы ввиду отсутствия работающего оборудования для лечения зубов и все это длиться много лет. Хотя чиновники клятвенно обещали после реорганизации-присоединения к окружной все измениться в лучшую сторону. Ну и где все эти улучшения? Или опять ждать что-то вроде 300;Нехватка материально-технического обеспечения
Коронавирус;отсутсвует вакцина от;Доступность вакцин
Газ и топливо;для многодетных малоимущих;Стоимость, оплата и возврат средств на газификацию
Общественный транспорт;'А вот на Комсомольской площади нет остановки,;Отсутствие остановочных пунктов
Физическая культура и спорт;'Здравствуйте, когда откроется бассейн снова?;Ремонт спортивных учреждений
ЖКХ;ведь определенные правила,;Ремонт подъездов
Электроснабжение;приходиться в 3-4 часа ночи вставать включать. Вакуумный насос еле работает. Ну сделайте что нибудь уже. Столбы;Качество электроснабжения
Памятники и объекты культурного наследия;(он же, вроде, купца Жукова)? Не восстановят даже к 300-летию? Я понимаю, у Медакадемии, как и у всей медицины, денег нет, но ведь дом в ужасном состоянии, там;Памятники и объекты культурного наследия
Мусор/Свалки/ТКО;не смогла😡 оператор;★ Уборка/Вывоз мусора
Физическая культура и спорт;вечер, хотел узнать насчёт галевое поле В Орджоникидзе, там сейчас зимой ледовый каток. Хотелось бы чтобы он был там! Народ ходит катается зимой. Пустили слухи что каток;Ремонт спортивных учреждений
ЖКХ;Там царит разруха. Окна бещ стекол. Двери;Непригодные для проживания жилые помещения
Мусор/Свалки/ТКО;Гаревая, баки прилегли, устали наверное.;Проблемы с контейнерами
Дороги;не чистит я. Если дороги ещё хоть как-то убирают, то тротуары и проезд между домами не убирает никто.;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Здравоохранение/Медицина;частных клиниках с кадрами;Низкая заработная плата врачей
Дороги;"улицу Коммунаров только налево (направо - к Центральной библиотеке - одностороннее движение) висит над знаком ""Главная дорога"" (улица Мира) на высоте 4 метра";Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Благоустройство;число. По Чапаевой, начиная с Ватутиной;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
ЖКХ;Как мне можно переоформить тепло на;Завышение платы за коммунальные услуги
Погребение и похоронное дело;этому Великому празднику. И порядок наведут и люди занятые в этом денежку;Погребение и похоронное дело
Социальное обслуживание и защита;Лысьве есть ёлка желаний для детей;Инвалиды
Мусор/Свалки/ТКО;ещё они так простая?;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Мусор/Свалки/ТКО;кто выносит за;Проблемы с контейнерами
Социальное обслуживание и защита;в данной ситуации.Максимова Елена Петровна 03.05.1992.Пермский край;Задержка выплат гражданам
Дороги;ездят автомобили, нарушая скоростной режим. Аварийно-опасный участок автодороги;Предложить установку нового лежачего полицейского (ИДН)
ЖКХ;Заявка подавалась 15.07. , потом еще 100 звонков было. В ответ усмешки. Заявление в прокуратуру естественно будет, очень много потерь. В доме живут пенсионеры и многодетные семьи. Заранее спасибо за помощь, будем очень благодарны , если она до нас дойдет.;★ Засор в общедомовой системе водоотведения (канализации)
ЖКХ;работает Люди буквальном смысле застревают;Лифт неисправен или отключен
Здравоохранение/Медицина;вопрос должна ли я;Нехватка материально-технического обеспечения
Образование;обучать в этих современных мастерских? Чем его привлечь в сельскую школу, где нет жилья, нормальной зарплаты ему тоже не предложить, досуг отсутствует, равно как и;Социальная поддержка учителей
Образование;Холмогорская, 2Ж. Хотелось бы перевести ребенка на обучение в этой школе в следующем году.;Строительство школ, детских садов
Дороги;где товарищи ???;Ливневые канализации (строительство и реконструкция)
ЖКХ;ни разу не ремонтировали бьемся уже;Перепланировка и реконструкция помещений
Образование;сюда не входит?;ЕГЭ, ОГЭ
Здравоохранение/Медицина;в 1,139млн прошедших первичную;Вакцинация
ЖКХ;месяца, запах стоит и все растекается на 2 квартала. Никто ничего не;★ Засор в общедомовой системе водоотведения (канализации)
Образование;где можно оформить социальную стипендию?;Выплаты стипендий
Коронавирус;Пермского края по тел. 8 (342);Проблемы в работе горячих линий
Общественный транспорт;столь опасным? Перекрёсток;Пешеходные переходы и жд переезды
ЖКХ;я встаю на работу в 4 утра, и мне приходится пропускать воду хотя бы до;Низкая температура воды/слабое давление
Здравоохранение/Медицина;доме нет нужных лекарств, а некоторых ни когда и небыло.;Отсутствие лекарств в стационарах
Здравоохранение/Медицина;в больницу, а в больнице очередь в человек 40 стоит. В итоге плюнула,;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Роспотребнадзор;такая же проблема 😡;Обработка и уничтожение грызунов (дератизация)
Образование;"разрушены, опасны для прогулок. Пол и двери куда выгружают продукты питания, сгнили и образовались дыры в полу. Детский сад очень долго не ремонтировался, группа номер 1 ""Колобок"" находится в санитарно не пригодных";Содержание гос. образовательных организаций
ЖКХ;холодной воды слабый и горячей воды;Низкая температура воды/слабое давление
Здравоохранение/Медицина;Разве такое когда-то было?! И эти данные о заболевших даже наполовину неверные. Очень много людей, особенно кому больничный не нужен, просто не обращаются к врачам. А тесты, если и обратились показывают ерунду: у мужа ковид, у жены нет. Чем же они в одной квартире одинаково болеют?А другие заболевания теперь просто не лечат, потому что к врачу не;Очередь
Мобилизация;подскажите пожалуйста когда;Поддержка семей мобилизованных
Благоустройство;машин и дети со всего города ходят теперь кататься на эту грязную гору .наверно надо идти в администрацию;★ Нарушение правил уборки от снега и наледи территории парка и сквера
"МФЦ ""Мои документы""";как-то неуверенно отправляет меня через;"МФЦ ""Мои документы"""
Образование;'Добрый вечер. Подскажите, как подать документы на именную стипендию;Выплаты стипендий
Погребение и похоронное дело;этой же Перми,то их затопит,то еще что. Не каждый в состоянии ухаживать за могилами,особенно пожилые.;Погребение и похоронное дело
Социальное обслуживание и защита;ежемесячное пособие в;Оказание гос. соц. помощи
Здравоохранение/Медицина;кабинет зашла в 12.10;Очередь
Образование;'Я разыскиываю работу в школах в тех регионах, которые;Зарплата учителей
Газ и топливо;день, материальную помощь на компенсацию подключения газа внутри дома (31146р) можно получить если все работы по проектированию проведены и уже оплата за работу;Стоимость, оплата и возврат средств на газификацию
Образование;и хотел подавать на повышенную стипендию в вузе, но;ВУЗы и ССУЗы
Экономика и бизнес;в чём проблема;Цены и ценообразование
Газ и топливо;газа? Может это дачи?;Восстановление газоснабжения
Здравоохранение/Медицина;момент какие то трудности с;Отсутствие лекарств в аптеках
ЖКХ;моей подписи, без моего согласия (я собственник).Появилась входная группа, в детской комнате стало холодно, световые рекламные короба светят и днем и ночью нам в окно, сотрудники курят на крыльце и нам тянет в окно, сейчас мы начали ремонт и после демонтажа обоев обнаружили трещины в несущих стенах.Арендаторы постоянно меняются, был авто магазин( запахи все мы тоже почувствовали). Председатель;Перепланировка и реконструкция помещений
Мусор/Свалки/ТКО;конца и не получен, срок рассмотрения администраций Кировского района;Раздельная сортировка отходов
ЖКХ;в этом доме сидят и толку ноль . Вот;★ Затопление подъездов, подвальных помещений
Дороги;в виду того, что нормативы в СССР (во времена постройки домов) были другие и никто собственно не думал, сможет ли повернуть к дому пожарная машина или нет. Сегодня 15.07.22 УК Крупской;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
ЖКХ;это как? И куда обращались с такой проблемой, в БЭС говорят что все норм и они нечего;Завышение платы за коммунальные услуги
Дороги;улицы Кирова односторонним;Организация парковок
Экология;Мулянка, более 3х лет гос. Структуры не видят и слышать не хотят;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Благоустройство;Сегодня пришли опять гулять. Время 11 утра, а туалеты так и закрыты.;Отсутствие общественных туалетов
ЖКХ;несколько раз в день, теперь этого нет.3. Дворников тоже не наблюдаю, как раньше, стало грязнее.4. Вызывала Слесаря, чтобы отрегулировать батареи - не пришёл, сказали, что много заявок, не до нас(Пришёл человек из правления, как я поняла, не слесарь, отрегулировал одну батарею, и на том спасибо.Раньше Слесаря приходили сразу, в день заявки.4. Члены правления ТСЖ разговаривают неуважительно, если не сказать хуже с собственниками дома…5. Я думала, что я одна недовольная, оказывается нет, очень много недовольных, просто люди не;Ненадлежащая уборка подъездов и лифтов
Здравоохранение/Медицина;она посмеялась выпившая и сбросила. Позвонил снова она выпившая ответила но не точно выпившая но голос неадекватно был ещё включила громкую связь, поугорала с двумя походу водилами над моей проблемой перевела на старшую. Та вызов не приняла, отругала и сказала вызовит полицию так как шучу. Шучу 34 года когда хреново;★ Скорая помощь
Здравоохранение/Медицина;мало, что будет дальше?;Отсутствие лекарств в аптеках
Физическая культура и спорт;, у нас в Перми , называется;Строительство спортивной инфраструктуры
Дороги;Молодежная 14 г. Гремячинск, Пермский край. К подьезду не возможно подойти после дождя,;Подтопление автомобильных дорог
Коронавирус;значит скорую можно не ждать? Тогда куда обращаться? Днём говорят идти в больницу,;Жалобы на врачей
Социальное обслуживание и защита;подовала в декабре;Матери-одиночки, подростки
Образование;всех начинаются сессии и скоро приедет очень много студентов с других областей заражаться в Пермь. А;Дистанционное образование
Здравоохранение/Медицина;пищу. Тело покрылост красными;★ Просьбы о лечении
Социальное обслуживание и защита;Коммунистическая 91 ?;Социальные учреждения
Благоустройство;Почему на Финском в 8.00;★ Неисправные фонари освещения
ЖКХ;"""Горняк"". На дворе сентябрь месяц. Время ушло. Работы по ремонту кровли так и не начаты. Чем заняты директор и администрация округа?";Непригодные для проживания жилые помещения
ЖКХ;напором воды Залогом? После отключения через несколько часов воду дали, но;Низкая температура воды/слабое давление
Общественный транспорт;'На 40 маршруте;Добавить новый маршрут
Социальное обслуживание и защита;сносить дома? Какие планы?;Аварийное жилье/переселение
Социальное обслуживание и защита;почему такая сумма?;Дети и многодетные семьи
Общественный транспорт;автобуса и в такую жару приходится ехать в;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Образование;по улице Орджоникидзе оставляет желать;Питание
Общественный транспорт;том году заделывали,;Пешеходные переходы и жд переезды
Образование;"вопрос по специальности ""Сестринское дело""";ВУЗы и ССУЗы
Социальное обслуживание и защита;подовала в декабре;Матери-одиночки, подростки
ЖКХ;но и документов о том, что он принадлежит нам (людям) тоже нет. Предложили собирать деньги;Отсутствие холодной воды
Благоустройство;на эту грязную гору .наверно надо идти;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Здравоохранение/Медицина;Ергче закрыта аптека. идёт заболеваемость. нужны лекарства. почему мы;Отсутствие аптек
Здравоохранение/Медицина;чтоб закрыть глаза главное есть, прошу решить эту;Содержание больниц
Физическая культура и спорт;и города , которым по большому счету негде заниматься физической культурой , тем более с детства . Это я сейчас имею в виду;Строительство спортивной инфраструктуры
Дороги;остался без освещения? Там нет у тротуара ни одного столба с лампами. Людях ходить в;Освещение неисправно или отсутствует
Газ и топливо;году начата газификация во;Запрос на газификацию и её условия
ЖКХ;напора, разбиритесь с этим;Низкая температура воды/слабое давление
Погребение и похоронное дело;каждый в состоянии;Погребение и похоронное дело
Здравоохранение/Медицина;сделан перевод, из нытвы в пермь, если нет препаратов тут, прошу вас принять меры и провести проверку в нытвенской больнице!!!!!!;Отсутствие лекарств в стационарах
Общественный транспорт;Кондуктор сказал, что бесплатный проезд для детей только с 10;Льготы на проезд и тарифы
Связь и телевидение;инновационным потенциалом, это;★ Информационно-техническая поддержка
ЖКХ;на 7 этаж. Конечно, за лифты всегда платили.Естественно, требуется, чтобы все было исправно и можно пользоваться.А тут торговый центр на весь город. Хотя я там всегда по лестницам обычно бегаю).;Лифт неисправен или отключен
ЖКХ;тратила 3 куба, а теперь плачу за 6,;Низкая температура воды/слабое давление
Здравоохранение/Медицина;нужны лекарства. почему мы должны с температурой ехать в Кунгур за;Отсутствие аптек
Мусор/Свалки/ТКО;возня! Дома надо насобираить кучу, потом увезти, да ещё сначала выяснить куда везти. Трудно в городе организовать регулярный сбор;Раздельная сортировка отходов
Мусор/Свалки/ТКО;Ляды Чусовская д12;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;"проезд, администрация нарушила и требования пожарной безопасности и требования жилищного законодателдьства, не спросив разрешения у собственников, путём провдения общего собрания, так как эта территория являетс собственностью, сервитута нет), ещё и это гребаный съезд к нам на территорию сделала. нарушено два пункта СП 4.13130 - 8.1 пп. а),б) Подъезд пожарных автомобилей к жилым и общественным зданиям, сооружениям должен быть обеспечен по всей длине: а) с двух продольных сторон - к зданиям и сооружениям класса функциональной пожарной опасности Ф1.3 высотой 28 и более метров, классов функциональной пожарной опасности Ф1.2, Ф2.1, Ф2.2, Ф3, Ф4.2, Ф4.3, Ф.4.4 высотой 18 и более метров;б)";Благоустройство придомовых территорий
