Группа тем;Текст инцидента;Тема
Благоустройство;сильно надо можете пожаловаться.\n \nФото;★ Парковка на газонах
ЖКХ;ул. Олега кошевого 60. У нас;Жалобы на управляющие компании
Образование;закройте на карантин школы! Дети тяжело;Дистанционное образование
Социальное обслуживание и защита;чтобы оформить опекунство над человеком;Инвалиды
Благоустройство;ремонта.Этот вопрос уже задавала.Кто-нибудь наказан?;Разрушение тротуаров и пешеходных дорожек
ЖКХ;в ужасном состоянии и опасны для эксплуатации?;Неисправность выступающих конструкций: балконов, козырьков, эркеров, карнизов входных крылец и т. п.
Культура;который год ремонтируют библиотеку .;Учреждения культуры
Коронавирус;одних она есть , в;Коронавирусные ограничения
Благоустройство;У Алмаза Детская площадка. Можно исправить;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Мусор/Свалки/ТКО;уже противна эта показуха!!! Какой раздельный сбор,если люди живут на собственных помойках,а именно так и есть ,где;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Социальное обслуживание и защита;закрыть отделение сбербанка в городе Губаха;Социальные учреждения
Здравоохранение/Медицина;'Самое главное меня сейчас Возмущает про Алкогольное Опьянение быстро едут!!! Вызовов много!!! А когда Человеку Действительно нужна Скорая помощь не дождаться, Или Вызывайте мол врача на дом говорят!!! Как так то время вечер , ночь , выходные дни!!! Какой врач , вот так и люди умирают Не Дождавши Скорую помощь, Раз его знаю уже что он пьяница что к нему ехать!!! А;★ Скорая помощь
Экономика и бизнес;колясочку на дому . Только не В;Трудоустройство
Общественный транспорт;Автобусную остановку Теплая стаянка отварот на;Отсутствие остановочных пунктов
ЖКХ;когда начнут ремонтировать муниципальных домов в;Ненадлежащее содержание и эксплуатация МКД
ЖКХ;приезжали слесаря взяли с 4 квартир по 500 рублей, работу не выполнили и не приезжают продолжать чистить, мы уже с субботы;★ Засор в общедомовой системе водоотведения (канализации)
Электроснабжение;столба? Подскажите, куда нужно обращаться или позвонить куда,;★ Повреждение опор ЛЭП
ЖКХ;видела огромную, как кошка, на Космонавтов, 5.;Дезинфекция МКД
Социальное обслуживание и защита;пособие с 3 -7 лет Когда ждать поступления?Индустриальный;Дети и многодетные семьи
Социальное обслуживание и защита;учусь в РАНХиГС, специальность ГМУ;Занятость и трудоустройство
Благоустройство;Вопрос состоит в пешеходном переходе через улицу Свиязева от строения № 37\а в направлении дома № 58, где территория автопарковки в плотную примыкает к проезжей части, металлический забор которой закрывает обзор, кроме того согласно данным публичной кадастровой карты данная автопарковка расположена на;Самовольная установка ограждений на территории общего пользования
Благоустройство;когда будет установка урны ?;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Благоустройство;тротуаров около школы 116 во двор на ул. Студенческая;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
"МФЦ ""Мои документы""";ли написать жалобу через госуслуги?;Государственные услуги
Социальное обслуживание и защита;материальную помощь в сумме 15т.р. прошел уже ровно месяц как я не могу получить эту помощь, в соц.защите отвечают ждите ждите , мол отправили и уже месяц полнейшей тишиныЕлена Витальевна, вчера в 19:46Помощь идет по мобилизованнымЕлена Витальевна, вчера в 19:47Я мать 3 детей , воспитываю их одна , на старшего сына я;Задержка выплат гражданам
Благоустройство;в выходные работать без выходных. А если весь месяц так будет или 2? Где техника? А дворники;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Образование;чтобы люди повышали свой профессиональный уровень? Закрыли все;Зарплата учителей
Коронавирус;четверг с симптомами ОРВИ сами пришли к дежурному врачу в поликлинику, сдали тест на Ковид, результат положительный. Они получили предписание по лекарствам, неделю лечились дома. Сегодня по прошествии недели они вновь пошли в поликлинику на приём к врачу, как им было назначено. У меня вопрос: если существует утвержденный Главным санитарным врачём РФ порядок нахождения;Самоизоляция и карантин
Здравоохранение/Медицина;край. Целый этаж под детский ковид, так там;Содержание больниц
Здравоохранение/Медицина;начать? В частных клиниках с кадрами проблем;Низкая заработная плата врачей
Благоустройство;пора сетку металлическую для переходов туда кинуть и;Предложение по благоустройству
Культура;наши подростки в г.Лысьва по;Учреждения культуры
Благоустройство;штыри, прошу решить вопрос по демонтажу. Я 2 недели назад запнулась за этот штырь разбила;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Здравоохранение/Медицина;нет, люди в Пермь ездят.;Нехватка материально-технического обеспечения
ЖКХ;не травят тараканов, и соседи травят тараканов. В первом случае усатые рыжие твари доводят меня до инсульта своим внезапным появлением, а во втором я просыпаюсь на каком-то тараканьем;Дезинфекция МКД
Образование;20- 30 занятий в месяц педагогов в месяц, причём это небольшие коллективы.Кто придумал такой норматив? Явно не сам трудовой коллектив.Заведующий не;Зарплата учителей
Здравоохранение/Медицина;корпоративных МСЧ, всех принимают или;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Здравоохранение/Медицина;могу я у вас по интересоваться на счёт реакции;Вакцинация
Общественный транспорт;какие-то постоянно остановки покупать ... стоим по минут 5-10 ... и Сделайте время с 7:00 часов ... сейчас многие работают в губахе и надо ехать на работу к 8, а подъезжаем к пол 9 ... тогда смысл этого автобуса ...;График движения общественного транспорта
Дороги;например подземные пешеходные переходы А не то возле экспланада мол куча светофоров. На перекрёстках на;Организация переходов, светофоров/Изменить организацию движения
Благоустройство;'⚡️⚡️⚡️Очередное обращение по уличному освещению, на этот раз по 18 округу (избран по которому Стенно Сергей Петрович [id9175092|Сергей Стенно] )Сергей Петрович к вам обращаются жители домов по адресу ул. Фонтанная 8 и 10 в лице [id37182342|Вадим Ермаков]С просьбой разобраться с освещением.На видео вы увидите качество освещения.Можно сказать его нет совсем, при этом нет;★ Неисправные фонари освещения
ЖКХ;3 этажа УК ДО СИХ;Залитие квартиры
Дороги;убрали парковки для машин и;Организация парковок
Здравоохранение/Медицина;00:00 07.11.22 просто неадекватная и грубит.;★ Скорая помощь
Благоустройство;гору .наверно надо идти в администрацию пусть вывозят, этот кашмар точно не;★ Нарушение правил уборки от снега и наледи территории парка и сквера
ЖКХ;нас тоже такая была. Этои зеленкой;Плохое качество воды
Дороги;"точно будет про ""безопасность детей"".";Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
"МФЦ ""Мои документы""";в мфц?соцзащита как-то неуверенно отправляет;"МФЦ ""Мои документы"""
Безопасность;переданы в Пермь ,можно узнать в данный момент ,что с;Беженцы
Памятники и объекты культурного наследия;'Там много что разрушено. Узкие тропинки рыли бульдозером чуть ли;Памятники и объекты культурного наследия
ЖКХ;чкалова 10 поменяют лифт он не работает;Лифт неисправен или отключен
Образование;мфц, дата готовности 19.04. Сертификат на почту;Детские оздоровительные лагеря
Благоустройство;или по праздникам! Жители Лысьвы,;Отсутствие общественных туалетов
Здравоохранение/Медицина;сыну УЗИ делали... Это он;Нехватка материально-технического обеспечения
Благоустройство;у подъездов, убирая старые бордюры, ковшом вырыли землю. На просьбу привезти землю, сказали, что сметной не предусмотрено. Ремонт для;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Здравоохранение/Медицина;с 2019 года диагностирована артериальная;★ Просьбы о лечении
Образование;тем кто говорит сфотографировать! Иди, прийди с проверкой! Вы сами попробуйте зайти в эту школу?! Там деректор - зверь неодыкватный (говорю про характер, а не про человека) И тем более в столовую и тем более с проверкой!НЕ ПУСТЯТ! Там в столовую пропускают только без телефона (стоят старшаки и караулят и забирают, при выходе отдают телефоны ( пишу со слов своих детей) \nАдминистрация или кто за этим смотрит! Вы за что деньги там получаете!? Охренели! \nРазберитесь!\nИзвините, мысль спутанна! Я на ИМОЦИЯХ! Т к;Питание
Мусор/Свалки/ТКО;сортировочный комплекс не построить в;Строительство объектов по обращению с отходами
Общественный транспорт;Хамит, нецензурно выражается, позволяет себе оскорблять женщин в присутствии мужей, а так же имеет нездоровый блеск в глазах, зрачки расширены, что может свидетельствовать о том что данный водитель водит машину в нетрезвом состоянии. Прошу обратить на это внимание и принять к нему меры. Вчера он работал на линии. Если меры не будут приняты, то поступит официальная;Некорректное поведение водительского состава
Здравоохранение/Медицина;Краснокамскске ковидным больным нет лекарств.;Льготные лекарства
Благоустройство;+79091036181. Припаркованные машины в неположенном;★ Парковка на газонах
Здравоохранение/Медицина;же ситуация была 31.01 на;Очередь
Дороги;не понимаю, но очень недовольны в нём, совсем не удобный или по времени бы он был;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Дороги;школы 83 - везде лежачие полицейские и пешеходные переходы есть.Ладно это рядом со школой, а через квартал? Через два? Ни кто не задумался обратить внимание на просьбы жителей???;Предложить установку нового лежачего полицейского (ИДН)
Благоустройство;№15 из-за бугра не видно;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Здравоохранение/Медицина;Почему не приходит врач, который должен принести лекарство от кавида? Почему у нас в городе больных covidом заставляют до поликлинники, до КТ добираться самостоятельно, заражая всё;★ Скорая помощь
Здравоохранение/Медицина;поинтересуются,здоровьем ребенка.Пришла неотложка,1 раз.Написала лечение,стала уходить,я ы2говорю,а грипферон еще что то.Она в дверях уже,ладно давайте бумажку допишу леченение,с такой миной выдала,капли грипферон.Но в амбулаторных картах,всяко записей милион,о состоянии здоровья.На это и время и доктора есть,сидеть в компе и состояние здоровья печатать,о котором они не в курсе;Льготные лекарства
Благоустройство;'В п. Свердлова тоже темень;Отсутствие фонарей освещения
Образование;'Здравствуйте . В дет.садах проходят праздник-выпускной. Какие меры будут приняты ( для родителей;Образовательный процесс
Здравоохранение/Медицина;'И сделали бы уже второе отделение;Предложения по созданию лечебных центров
Благоустройство;во двор трёх домов Братская 20, Братская 22 и Балхашская 209. Двор тупиковый, другого проезда НЕТ. Зимой постоянно застревают машины в этих ямах, вытаскивают друг друга. Таксисты отказываются доезжать до подъезда.Спасибо, если поможете!;★ Ямы во дворах
Благоустройство;тропиинка.Прошу вас узнать законность установки забора.Мы отметим [id233789105|Александр;Самовольная установка ограждений на территории общего пользования
Дороги;зима и развертки будут не заметны. Не все автомобилисты соблюдают разметку, может все же повесить;★ Некачественно нанесенная разметка на проезжей части
Социальное обслуживание и защита;'Здравствуйте почему мне досих пор не;Задержка выплат гражданам
Мусор/Свалки/ТКО;мы от этого страдаем, так как оттуда к нам бегут крысы.;Выброс мусора нарушителем
ЖКХ;в однокомнатных квартирах нет тепла .;Ненадлежащее качество или отсутствие отопления
Здравоохранение/Медицина;пожалуйста можно ли вообще попасть к;Профильный осмотр
Социальное обслуживание и защита;8200 если за дом платим 7000. как же народ свой надо ненавидеть чтоб так издеваться?????????????;Инвалиды
Экономика и бизнес;'А как устроится в крц Прикамье?;Трудоустройство
"МФЦ ""Мои документы""";скажите пожалуйста, можно ли написать жалобу;Государственные услуги
ЖКХ;"что1. В нашем подъезде, не знаю, как в других теперь консьержа нет;2. Уборку в подъезде я не наблюдаю.Раньше мылись лифты, весь первый этаж, входная группа ежедневно, а Этажи несколько раз в неделю, а полы у лифтов несколько";Ненадлежащая уборка подъездов и лифтов
Благоустройство;день, рейд прошел, машин стало;★ Парковка на газонах
ЖКХ;в следующем: мы с мужем купили квартиру в 2015 году на 2 этаже по адресу ул. КАЛИНИНА 60 КВ 88, а через год НА ПЕРВОМ этаже под нами жилую квартиру перевели в нежилое помещение, Без моей подписи, без моего согласия (я собственник).Появилась входная группа, в детской комнате стало холодно, световые рекламные короба светят и днем;Перепланировка и реконструкция помещений
ЖКХ;затопило 3 этажа УК ДО;Залитие квартиры
Коронавирус;'Сегодня ждала врачей, для взятия мазка, не пришли.Но пришла смс, что ковид;Тесты на коронавирус
Благоустройство;ул Кирова 2 раздолбала детская площадка нет песочницы кабелей для детей глава;Отсутствие детских площадок
Благоустройство;когда будет установка урны ?;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Общественный транспорт;'А какой маршрут у 1а?;Изменить или отменить маршрут
Благоустройство;меньше, но парковка не законная;★ Парковка на газонах
Культура;арт объекты, у всех указаны авторы кроме моего.;Учреждения культуры
Экология;Перми заметили, что река Ива окрасилась;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Коронавирус;говорять сами идите в пункты,не;Жалобы на врачей
Дороги;Как после бомбежки в Сталинграде;Ямы и выбоины на дороге
Мусор/Свалки/ТКО;для пассажиров, уезжающих до коллективных садов. В городе на больших территориях не скашивается трава, не;★ Уборка/Вывоз мусора
Памятники и объекты культурного наследия;захоронений. Памятники поломаны. На лютеранском участке памятники стоят чуть ли не по пояс идущим уже. Края надгробий сломаны. кто за это;Памятники и объекты культурного наследия
Благоустройство;сделали и местные жители там отдыхали!! А малый и средний бизнес давно надо привлекать!! Пусть содержат свои объекты в должном виде!! Высаживают кустарники, клумбы!! Штрафовать жёстко, если вокруг грязь и мусор!! В обязательном;Парки и зоны отдыха
Благоустройство;не законная на газоне продолжает быть. Заезд;★ Парковка на газонах
Образование;почему только театр и спорт??? Как будто других способностей у детей нет.;Дополнительное образование
ЖКХ;Когда наша ук будет следить;Ремонт подъездов
ЖКХ;сделать перерасчет, сделали. Но пересчитали за 2 чел. Если;Завышение платы за коммунальные услуги
Общественный транспорт;установит Автобусную остановку Теплая стаянка отварот;Отсутствие остановочных пунктов
"МФЦ ""Мои документы""";меня через мфц писать заявление, хотя ранее я у;"МФЦ ""Мои документы"""
Коронавирус;прошлой неделе переболела в лёгкой форме. И сколько длиться карантин и работа в удалённом;Тесты на коронавирус
ЖКХ;вода с запахом, предположительно Канализация. Администрация не реагирует. Течёт на основную;Другие проблемы с общедомовой системой водоотведения (канализации)
Здравоохранение/Медицина;'Раньше ведь не частная аптека была?или;Отсутствие аптек
Безопасность;религиозная организация обратилась в Росреестр;Беженцы
Строительство и архитектура;может сделать Пермь. Это убирать старые шлакоблочные дома. В Кировском районе. Просто смешно смотреть. Стоит дом. 16 этажей. И рядом дом 3х этажа. Вся;Архитектура города
Мусор/Свалки/ТКО;1,,3,,,5. и ещё 3дома.деньги берут, ни какого сервиса. компания;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Здравоохранение/Медицина;на молочную кухню, справку в школу об освобождении от;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Образование;и афишировать как принимают детей в дет сад;Устройство в ДОУ
Мобилизация;Тюмени,если меня сейчас комисуют по состоянию здоровья нужно ли будет возвращать выплату в 100 тыс руб?;Зарплата, компенсации, поощрения, выплаты
Образование;а не старшие классы, при нехватке мест будут;Строительство школ, детских садов
Культура;который год ремонтируют библиотеку .;Учреждения культуры
Здравоохранение/Медицина;доме нет нужных лекарств, а некоторых ни;Отсутствие лекарств в стационарах
Физическая культура и спорт;'Здравствуйте, когда откроется бассейн снова?;Ремонт спортивных учреждений
Строительство и архитектура;статью и фото кривого строящееся зданием у школы √1.;Строительство зданий
Здравоохранение/Медицина;в Верещагино или Карагае. Тогдашний министр сказал;Нехватка материально-технического обеспечения
Благоустройство;г, +79504493959. Доброе утро, вот так уже какой день выглядят раскопки на остановке проспект Парковый. Всё раскопали и бросили, а здесь на остановочном пункте, одна из главных пересадочных артерий.;Нарушение правил проведения земляных работ
Здравоохранение/Медицина;компьютера, значит врач не может ознакомиться с моей лечебной картой.;Социальная поддержка медперсонала
Газ и топливо;Заостровке нет газа? Может это дачи?;Восстановление газоснабжения
ЖКХ;крыше в Яйва Петелетки 8;Непригодные для проживания жилые помещения
Образование;увеличение месть для учащихся, этим;Нехватка мест в школах
Мусор/Свалки/ТКО;? Перекресток Невского-Орджоникидзе. Фото от 24.02.2022 и 26.02.2022;★ Уборка/Вывоз мусора
Газ и топливо;скажите пожалуйста когда ожидается газификации по ул. Лермонтова, м.;Сроки газификации
Образование;происходит во многих сельских школах. А ведь мы, учителя сельских школ, работаем не меньше, чем учителя городских школ. Вот и получаем за свою работу (со стажем более 30 лет) минимальную заработную плату, до которой, кстати,;Социальная поддержка учителей
"МФЦ ""Мои документы""";ли написать жалобу через госуслуги?;Государственные услуги
Здравоохранение/Медицина;над детьми, родителями и врачами.;Содержание больниц
Дороги;городе? Начать предлагаю с площади Дружбы.А ведь сильный дождик даже ещё;Ливневые канализации (строительство и реконструкция)
Социальное обслуживание и защита;'Бараки ещё не могут расселить...;Аварийное жилье/переселение
Благоустройство;говорить спасибо не нужно. Уборку канавы так и не сделали. Уже 28 число. По Чапаевой, начиная с Ватутиной и до Первомайской такой;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Благоустройство;заметила, и от школы вниз по ул.Чернигина тоже не;Отсутствие фонарей освещения
ЖКХ;их встречают обшарпанные стены и облупившиеся подоконники. Если УК не может решить проблему фасада дома, есть же директор этого заведения, берём веничек, совочек, ведёрко,;Перепланировка и реконструкция помещений
Благоустройство;какой день выглядят раскопки на остановке проспект Парковый. Всё раскопали и бросили, а здесь на остановочном;Нарушение правил проведения земляных работ
Мусор/Свалки/ТКО;на дороге. Крысы бегают. Антисанитария;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Дороги;'Не знаю кому написать по поводу мостового перехода;Содержание, ремонт и обустройство тротуаров
Дороги;"у вас - ""ведутся работы"" и ""количество людей достачно"", тогда как вам говорят люди которые каждый день не";Пробки
ЖКХ;и горячей воды нет (((;Низкая температура воды/слабое давление
Дороги;'Разберитесь с очисткой дорог по;★ Несоблюдение правил уборки проезжей части
Здравоохранение/Медицина;сидит молодой врач, который не удосуживается даже элементарный первичный осмотр;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Мусор/Свалки/ТКО;экопунктам, когда появятся в нашем городе?;Строительство объектов по обращению с отходами
Благоустройство;Вам обращение для оперативного принятия соответствующих действий для борьбы с борщевиком. Мы все понимаем,;Борщевик Сосновского
Благоустройство;наш дом,он находится в пос.Яйва ул.Красногвардеиская 9.Нас топит,зимой был порыв на водоколонке затопило улицу.Канавы;★ Подтопление территории
Здравоохранение/Медицина;'На гайдара может и есть.,а в тгз;★ Питание в медицинских учреждениях
Мусор/Свалки/ТКО;мусор возле леса с машины х589хн уаз;Выброс мусора нарушителем
Общественный транспорт;старики и дети идут через железнодорожные пути. Всё для жителей города и бюджета.;Добавить новый маршрут
Образование;будет ли усилена охрана в детских садах?;Безопасность образовательного процесса
Здравоохранение/Медицина;нас в больнице сдать анализ на вирус папилломы и на все онкомаркеры? Платные они или;Диспансеризация
ЖКХ;отключают. И как долго это;Отсутствие холодной воды
Строительство и архитектура;ПЗСП и начать строить, в других же городах;Строительство зданий
Благоустройство;дети со всего города ходят теперь кататься на эту грязную гору .наверно надо идти в администрацию пусть вывозят, этот кашмар точно не по стандарту 🤗;★ Нарушение правил уборки от снега и наледи территории парка и сквера
ЖКХ;пройти не возможно, приходиться обходить по другой дороге. Звонила в администрацию, но тишина. Сегодня понедельник, а аварию не устранили. Почему;★ Прорыв трубы/трубопровода
Здравоохранение/Медицина;'У нас в Оханске последнего хирурга уволили .Люди!!!;Нехватка или сокращение врачей и медицинских учреждений
ЖКХ;'Кто знает почему нет электричества..?;Отсутствие электричества
Культура;наши подростки в г.Лысьва по пушкинской;Учреждения культуры
Социальное обслуживание и защита;нужны документы чтобы оформить опекунство над;Инвалиды
Образование;приведет к росту заболеваемости, в том числе коронавирусом.По словам родителей, в школе и так выстраиваются очереди в туалеты, столовую, раздевалки, а в связи с ростом количества учеников дети «просто не будут никуда успевать».Родители отмечают, что рядом с 28 школой;Кадровые перестановки
Здравоохранение/Медицина;не возможно передать. У меня дочь лежала в этой больнице мы с мужем работаем с 8 до 21 приехать могли только после работы(живём не в Кунгуре). Так вот мало того что вещи не смогли передать так ещё и лекарство(которое в больнице не оказалось) самое простое от температуры и обезболивающее;Отсутствие лекарств в стационарах
Благоустройство;№15 из-за бугра не видно;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Газ и топливо;предоставить субсидии нуждающимся гражданам в размере 100 тысяч рублей на приобретение газового оборудования и проведение соответствующих работ внутри участков. Когда данный вопрос;Стоимость, оплата и возврат средств на газификацию
Дороги;улице темнеет рано, пешеходов не видно даже. В деревнях и то улицы освещают ся, а в центре Перми полный мрак.Я вот сняла видео. Но на видео свет фар отражается в дорожных знаках, и кажется светлее, чем на самом;Освещение неисправно или отсутствует
Образование;"дому.Администрации города, архитектору города ""огромный поклон""";Строительство школ, детских садов
Благоустройство;сквере Победителей на улице Гусарова-Лодыгина все;Вырубка деревьев, кустарников
Общественный транспорт;2021 г было слушание по маршруту 3 решили что;Добавить новый маршрут
Образование;и интернет. Его жене работу не;Социальная поддержка учителей
Образование;детский сад, и видят вот такую картину!!! Рядом с пожарной лестницей,стараемся вообще не ходить,;Строительство школ, детских садов
Социальное обслуживание и защита;и какие льготы планируются ввести;Оказание гос. соц. помощи
Экономика и бизнес;Инвалиду колясочку на дому .;Трудоустройство
Дороги;'А Федосеева где? Ездить невозможно, как после войны;Предложение дороги в план ремонта
Социальное обслуживание и защита;документы через МФЦ 20.12.21 для получения разрешениями на совершения сделок с имуществом несовершеннолетних. В Расписке 59-56-20122021-1515579 (фото во вложении) указан срок исполнения 10.01.22, забирать документы нужно на б. Гагарина 10.По тел. 265-36-22, 8-908-271-4062 дозвониться не можем, хотелось бы узнать,;Социальные учреждения
Образование;'Что-то известно по отоплению? 2 корпус. Ноги холодные у ребёнка даже в;Проблемы с отоплением детских садов и школ
Коронавирус;контакте с больным, самоизоляция больше;Самоизоляция и карантин
Здравоохранение/Медицина;смс о прохождении диспансерного наблюдения с указанием номера телефона больницы им. Вагнера , дозвониться не могу, можно же в регистратуру 2-ой гор. больницы подойти, она мне ближе)г.;Диспансеризация
Физическая культура и спорт;узнать о примерноц планировке скейт;Строительство спортивной инфраструктуры
Здравоохранение/Медицина;Чем лечить детей? Как всегда не готовы!!!;Отсутствие лекарств в аптеках
Здравоохранение/Медицина;начать? В частных клиниках с кадрами проблем;Низкая заработная плата врачей
Социальное обслуживание и защита;мать одиночка! Выплоты не какие не получаю мне хотелось узнать могу ли я что то оформить за;Матери-одиночки, подростки
ЖКХ;Махонин сказал обратится к вам на Куйбышева 16 1подезд обрушился козырёк можно;Неисправность выступающих конструкций: балконов, козырьков, эркеров, карнизов входных крылец и т. п.
Социальное обслуживание и защита;можно узнать, входит ли наша семья в;Дети и многодетные семьи
