id;Группа тем;Тема
7591;ЖКХ;Жалобы на управляющие компании
7592;Благоустройство;Уборка территорий
7593;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7594;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7595;Социальное обслуживание и защита;Аварийное жилье/переселение
7596;Образование;Дистанционное образование
7597;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7598;Социальное обслуживание и защита;Аварийное жилье/переселение
7599;Дороги;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
7600;Благоустройство;Вырубка деревьев, кустарников
7601;Благоустройство;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
7602;Дороги;Занятость и трудоустройство
7603;ЖКХ;Жалобы на управляющие компании
7604;Здравоохранение/Медицина;Содержание больниц
7605;Социальное обслуживание и защита;Оказание гос. соц. помощи
7606;Дороги;Содержание, ремонт и обустройство тротуаров
7607;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7608;Социальное обслуживание и защита;Оказание гос. соц. помощи
7609;Образование;Проблемы с отоплением детских садов и школ
7610;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7611;Здравоохранение/Медицина;Очередь
7612;Благоустройство;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
7613;Дороги;Освещение неисправно или отсутствует
7614;Дороги;Занятость и трудоустройство
7615;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7616;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7617;Социальное обслуживание и защита;Дети и многодетные семьи
7618;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7619;ЖКХ;Ненадлежащая уборка подъездов и лифтов
7620;Здравоохранение/Медицина;Содержание больниц
7621;Дороги;Занятость и трудоустройство
7622;Мусор/Свалки/ТКО;Раздельная сортировка отходов
7623;Социальное обслуживание и защита;Оказание гос. соц. помощи
7624;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7625;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7626;Здравоохранение/Медицина;★ Просьбы о лечении
7627;Социальное обслуживание и защита;★ Некачественно нанесенная разметка на проезжей части
7628;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7629;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7630;ЖКХ;Ненадлежащее содержание и эксплуатация МКД
7631;Благоустройство;Социальные учреждения
7632;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7633;Дороги;Освещение неисправно или отсутствует
7634;Коронавирус;Сертификаты и QR-коды
7635;Образование;Проблемы с отоплением детских садов и школ
7636;Социальное обслуживание и защита;Дети и многодетные семьи
7637;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7638;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7639;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7640;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7641;Здравоохранение/Медицина;★ Просьбы о лечении
7642;Социальное обслуживание и защита;Дети и многодетные семьи
7643;Дороги;Освещение неисправно или отсутствует
7644;ЖКХ;Жалобы на управляющие компании
7645;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7646;Социальное обслуживание и защита;Дети и многодетные семьи
7647;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7648;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7649;Здравоохранение/Медицина;Профильный осмотр
7650;Здравоохранение/Медицина;Проблемы с контейнерами
7651;Мобилизация;Зарплата, компенсации, поощрения, выплаты
7652;Безопасность;Льготные лекарства
7653;Благоустройство;Социальные учреждения
7654;ЖКХ;Жалобы на управляющие компании
7655;ЖКХ;Строительство или реконструкция дорог
7656;Здравоохранение/Медицина;Нехватка материально-технического обеспечения
7657;Образование;Низкая температура воды/слабое давление
7658;ЖКХ;Ненадлежащее качество или отсутствие отопления
7659;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7660;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7661;Дороги;Дезинфекция МКД
7662;ЖКХ;Ненадлежащее качество или отсутствие отопления
7663;Мусор/Свалки/ТКО;Раздельная сортировка отходов
7664;ЖКХ;Отсутствие холодной воды
7665;Дороги;Занятость и трудоустройство
7666;Мусор/Свалки/ТКО;Раздельная сортировка отходов
7667;ЖКХ;Ремонт подъездов
7668;Социальное обслуживание и защита;Оказание гос. соц. помощи
7669;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7670;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7671;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7672;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7673;ЖКХ;Ненадлежащее качество или отсутствие отопления
7674;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7675;Благоустройство;★ Неисправные фонари освещения
7676;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7677;Дороги;Занятость и трудоустройство
7678;Социальное обслуживание и защита;Аварийное жилье/переселение
7679;Дороги;Занятость и трудоустройство
7680;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
7681;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7682;Дороги;Некачественно выполненный ремонт дорог
7683;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7684;Социальное обслуживание и защита;Дети и многодетные семьи
7685;ЖКХ;Жалобы на управляющие компании
7686;Здравоохранение/Медицина;Содержание больниц
7687;Социальное обслуживание и защита;Дети и многодетные семьи
7688;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
7689;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7690;Дороги;Содержание, ремонт и обустройство тротуаров
7691;Безопасность;Некорректное поведение водительского состава
7692;ЖКХ;Ненадлежащее качество или отсутствие отопления
7693;Мусор/Свалки/ТКО;Раздельная сортировка отходов
7694;Здравоохранение/Медицина;Ошибки врачей, халатность
7695;Социальное обслуживание и защита;Дети и многодетные семьи
7696;Дороги;Занятость и трудоустройство
7697;ЖКХ;Ненадлежащее качество или отсутствие отопления
7698;ЖКХ;Отсутствие холодной воды
7699;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7700;Социальное обслуживание и защита;Аварийное жилье/переселение
7701;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7702;Социальное обслуживание и защита;Дети и многодетные семьи
7703;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7704;Социальное обслуживание и защита;Оказание гос. соц. помощи
7705;ЖКХ;Завышение платы за коммунальные услуги
7706;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7707;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7708;ЖКХ;Жалобы на управляющие компании
7709;Безопасность;Некорректное поведение водительского состава
7710;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7711;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
7712;Социальное обслуживание и защита;Улучшение жилищных условий
7713;Коронавирус;Коронавирусные ограничения
7714;Социальное обслуживание и защита;Аварийное жилье/переселение
7715;Социальное обслуживание и защита;Задержка выплат гражданам
7716;Благоустройство;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
7717;Социальное обслуживание и защита;Дети и многодетные семьи
7718;Социальное обслуживание и защита;Оказание гос. соц. помощи
7719;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7720;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7721;ЖКХ;Отсутствие горячей воды
7722;Мусор/Свалки/ТКО;Раздельная сортировка отходов
7723;ЖКХ;Жалобы на управляющие компании
7724;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7725;Благоустройство;Отсутствие детских площадок
7726;ЖКХ;Жалобы на управляющие компании
7727;Общественный транспорт;Изменить или отменить маршрут
7728;Благоустройство;Отсутствие детских площадок
7729;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7730;Социальное обслуживание и защита;Оказание гос. соц. помощи
7731;Общественный транспорт;Проблемы с социальными картами или проездными документами
7732;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7733;Социальное обслуживание и защита;Оказание гос. соц. помощи
7734;Благоустройство;Самовольная установка ограждений на территории общего пользования
7735;ЖКХ;Ненадлежащее качество или отсутствие отопления
7736;Здравоохранение/Медицина;Очередь
7737;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7738;ЖКХ;Жалобы на управляющие компании
7739;Социальное обслуживание и защита;Государственные услуги
7740;Социальное обслуживание и защита;Оказание гос. соц. помощи
7741;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7742;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7743;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7744;Благоустройство;Уборка территорий
7745;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7746;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7747;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7748;Коронавирус;Сертификаты и QR-коды
7749;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7750;Социальное обслуживание и защита;Оказание гос. соц. помощи
7751;Социальное обслуживание и защита;Оказание гос. соц. помощи
7752;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7753;ЖКХ;График движения общественного транспорта
7754;Социальное обслуживание и защита;Создание доступной среды для инвалидов
7755;Социальное обслуживание и защита;Дети и многодетные семьи
7756;Социальное обслуживание и защита;Государственные услуги
7757;ЖКХ;Отсутствие холодной воды
7758;Здравоохранение/Медицина;★ Просьбы о лечении
7759;Социальное обслуживание и защита;Оказание гос. соц. помощи
7760;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7761;Здравоохранение/Медицина;Очередь
7762;Социальное обслуживание и защита;Дети и многодетные семьи
7763;Коронавирус;Тесты на коронавирус
7764;ЖКХ;Жалобы на управляющие компании
7765;Образование;Образовательный процесс
7766;Социальное обслуживание и защита;Дети и многодетные семьи
7767;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7768;ЖКХ;★ Протечки с кровли (системы водостока)
7769;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7770;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7771;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7772;Социальное обслуживание и защита;Оказание гос. соц. помощи
7773;Социальное обслуживание и защита;Создание доступной среды для инвалидов
7774;Социальное обслуживание и защита;Оказание гос. соц. помощи
7775;Коронавирус;Доступность вакцин
7776;Безопасность;Льготные лекарства
7777;Благоустройство;Социальные учреждения
7778;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7779;Роспотребнадзор;Обработка и уничтожение грызунов (дератизация)
7780;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7781;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7782;Социальное обслуживание и защита;Оказание гос. соц. помощи
7783;ЖКХ;★ Открытые канализационные люки
7784;Здравоохранение/Медицина;Содержание больниц
7785;ЖКХ;Спецпроекты
7786;Коронавирус;Доступность вакцин
7787;Здравоохранение/Медицина;Очередь
7788;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7789;Общественный транспорт;Пенсионеры и ветераны
7790;Социальное обслуживание и защита;Дети и многодетные семьи
7791;ЖКХ;Ненадлежащая уборка подъездов и лифтов
7792;Здравоохранение/Медицина;Хамство медицинских работников
7793;Здравоохранение/Медицина;Профильный осмотр
7794;Общественный транспорт;Содержание остановок
7795;ЖКХ;Строительство или реконструкция дорог
7796;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7797;ЖКХ;Завышение платы за коммунальные услуги
7798;ЖКХ;Жалобы на управляющие компании
7799;Здравоохранение/Медицина;Проблемы с контейнерами
7800;Здравоохранение/Медицина;Проблемы с контейнерами
7801;Дороги;Содержание, ремонт и обустройство тротуаров
7802;Социальное обслуживание и защита;Оказание гос. соц. помощи
7803;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7804;Благоустройство;★ Неисправные фонари освещения
7805;ЖКХ;Отсутствие горячей воды
7806;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7807;Мобилизация;Инвалиды
7808;ЖКХ;Отсутствие горячей воды
7809;Социальное обслуживание и защита;Дети и многодетные семьи
7810;Общественный транспорт;Пенсионеры и ветераны
7811;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7812;ЖКХ;Ненадлежащее качество или отсутствие отопления
7813;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7814;Коронавирус;Тесты на коронавирус
7815;Мусор/Свалки/ТКО;Ямы и выбоины на дороге
7816;Здравоохранение/Медицина;★ Просьбы о лечении
7817;Социальное обслуживание и защита;Дети и многодетные семьи
7818;Здравоохранение/Медицина;Хамство медицинских работников
7819;Социальное обслуживание и защита;★ Некачественно нанесенная разметка на проезжей части
7820;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7821;ЖКХ;Ненадлежащее качество или отсутствие отопления
7822;Здравоохранение/Медицина;★ Скорая помощь
7823;Общественный транспорт;Пенсионеры и ветераны
7824;Благоустройство;Уборка территорий
7825;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7826;Благоустройство;Уборка территорий
7827;Коронавирус;Сертификаты и QR-коды
7828;Социальное обслуживание и защита;Оказание гос. соц. помощи
7829;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7830;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7831;Социальное обслуживание и защита;Дети и многодетные семьи
7832;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7833;Социальное обслуживание и защита;Дети и многодетные семьи
7834;Социальное обслуживание и защита;Оказание гос. соц. помощи
7835;Благоустройство;Уборка территорий
7836;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7837;ЖКХ;Строительство или реконструкция дорог
7838;Социальное обслуживание и защита;Оказание гос. соц. помощи
7839;Общественный транспорт;Содержание остановок
7840;ЖКХ;График движения общественного транспорта
7841;Общественный транспорт;Содержание остановок
7842;Коронавирус;Сертификаты и QR-коды
7843;Социальное обслуживание и защита;Дети и многодетные семьи
7844;ЖКХ;График движения общественного транспорта
7845;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7846;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7847;ЖКХ;Отсутствие холодной воды
7848;Культура;Учреждения культуры
7849;Газ и топливо;Сроки газификации
7850;Образование;Дополнительное образование
7851;Образование;Образовательный процесс
7852;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7853;Здравоохранение/Медицина;★ Скорая помощь
7854;Социальное обслуживание и защита;Дети и многодетные семьи
7855;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7856;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7857;Здравоохранение/Медицина;Проблемы с контейнерами
7858;Образование;Проблемы с отоплением детских садов и школ
7859;ЖКХ;Жалобы на управляющие компании
7860;Социальное обслуживание и защита;Оказание гос. соц. помощи
7861;Здравоохранение/Медицина;Очередь
7862;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7863;Социальное обслуживание и защита;Дети и многодетные семьи
7864;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7865;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7866;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7867;Дороги;Организация переходов, светофоров/Изменить организацию движения
7868;Дороги;Содержание, ремонт и обустройство тротуаров
7869;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7870;Социальное обслуживание и защита;Дети и многодетные семьи
7871;Дороги;Занятость и трудоустройство
7872;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7873;ЖКХ;★ Открытые канализационные люки
7874;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
7875;Благоустройство;★ Неисправные фонари освещения
7876;Социальное обслуживание и защита;Дети и многодетные семьи
7877;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7878;Социальное обслуживание и защита;Оказание гос. соц. помощи
7879;Социальное обслуживание и защита;Оказание гос. соц. помощи
7880;Коронавирус;Тесты на коронавирус
7881;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7882;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
7883;Благоустройство;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
7884;"МФЦ ""Мои документы""";★ Отсутствие урн, лавочек в общественных местах и дворовой территории
7885;Социальное обслуживание и защита;Дети и многодетные семьи
7886;Социальное обслуживание и защита;Оказание гос. соц. помощи
7887;Здравоохранение/Медицина;Содержание больниц
7888;Дороги;Занятость и трудоустройство
7889;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7890;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7891;Здравоохранение/Медицина;Профильный осмотр
7892;ЖКХ;Жалобы на управляющие компании
7893;Благоустройство;Благоустройство придомовых территорий
7894;ЖКХ;Отсутствие горячей воды
7895;Социальное обслуживание и защита;Дети и многодетные семьи
7896;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7897;Социальное обслуживание и защита;Дети и многодетные семьи
7898;Социальное обслуживание и защита;Оказание гос. соц. помощи
7899;Социальное обслуживание и защита;Оказание гос. соц. помощи
7900;Социальное обслуживание и защита;Оказание гос. соц. помощи
7901;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7902;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7903;Социальное обслуживание и защита;Оказание гос. соц. помощи
7904;ЖКХ;Жалобы на управляющие компании
7905;Общественный транспорт;Пенсионеры и ветераны
7906;Дороги;Освещение неисправно или отсутствует
7907;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7908;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7909;Образование;Содержание гос. образовательных организаций
7910;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7911;ЖКХ;Ненадлежащее качество или отсутствие отопления
7912;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7913;Дороги;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
7914;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
7915;ЖКХ;Ненадлежащее качество или отсутствие отопления
7916;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7917;ЖКХ;Ненадлежащее качество или отсутствие отопления
7918;Образование;Образовательный процесс
7919;ЖКХ;Жалобы на управляющие компании
7920;Благоустройство;Уборка территорий
7921;ЖКХ;Жалобы на управляющие компании
7922;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7923;Здравоохранение/Медицина;Профильный осмотр
7924;Социальное обслуживание и защита;Дети и многодетные семьи
7925;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7926;Дороги;Занятость и трудоустройство
7927;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7928;Благоустройство;Уборка территорий
7929;Здравоохранение/Медицина;Содержание больниц
7930;Здравоохранение/Медицина;Проблемы с контейнерами
7931;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7932;Социальное обслуживание и защита;Оказание гос. соц. помощи
7933;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7934;ЖКХ;Спецпроекты
7935;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
7936;Благоустройство;★ Неисправные фонари освещения
7937;Социальное обслуживание и защита;Аварийное жилье/переселение
7938;Социальное обслуживание и защита;Дети и многодетные семьи
7939;Здравоохранение/Медицина;★ Питание в медицинских учреждениях
7940;Здравоохранение/Медицина;Проблемы с контейнерами
7941;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7942;ЖКХ;Ненадлежащее качество или отсутствие отопления
7943;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
7944;ЖКХ;Жалобы на управляющие компании
7945;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7946;Социальное обслуживание и защита;Оказание гос. соц. помощи
7947;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7948;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
7949;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
7950;Социальное обслуживание и защита;Создание доступной среды для инвалидов
7951;Мусор/Свалки/ТКО;Плата за вывоз ТКО
7952;ЖКХ;Жалобы на управляющие компании
7953;ЖКХ;Завышение платы за коммунальные услуги
7954;Образование;Образовательный процесс
7955;Дороги;Занятость и трудоустройство
7956;Строительство и архитектура;Строительство социальных объектов
7957;Здравоохранение/Медицина;Проблемы с контейнерами
7958;ЖКХ;★ Открытые канализационные люки
7959;Дороги;Занятость и трудоустройство
7960;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
7961;Социальное обслуживание и защита;Оказание гос. соц. помощи
7962;ЖКХ;Спецпроекты
7963;ЖКХ;★ Протечки с кровли (системы водостока)
7964;Связь и телевидение;★ Информационно-техническая поддержка
7965;Благоустройство;Уборка территорий
